0x2164V0x14d8	0x1eeaB0x14d8
0x1eedV0x14d8	0x1ef7B0x14d8
0x2140V0x153e	0x4a10x2138B0x153e
0x2144V0x153e	0x1e92B0x153e
0x1e95V0x153e	0x1e9fB0x153e
0x20cfV0x16c8	0x348bB0x16c8
0x20d4V0x16c8	0x1d2cB0x16c8
0x1d38V0x16c8	0x1d41B0x16c8
0x1d44V0x16c8	0x1d51B0x16c8
0x1d52V0x16c8	0x1d5aB0x16c8
0x1d56V0x16c8	0x2264B0x16c8
0x1d2fV0x16c8	0x1d37B0x16c8
0x2258V0x1d41V0x16c8	0x34d6B0x1d41B0x16c8
0x2240V0x1d41V0x16c8	0x2253B0x1d41B0x16c8
0x224fV0x1d41V0x16c8	0x223bB0x1d41B0x16c8
0x20cfV0x1702	0x348bB0x1702
0x20d4V0x1702	0x1d2cB0x1702
0x1d38V0x1702	0x1d41B0x1702
0x1d44V0x1702	0x1d51B0x1702
0x1d52V0x1702	0x1d5aB0x1702
0x1d56V0x1702	0x2264B0x1702
0x1d2fV0x1702	0x1d37B0x1702
0x2258V0x1d41V0x1702	0x34d6B0x1d41B0x1702
0x2240V0x1d41V0x1702	0x2253B0x1d41B0x1702
0x224fV0x1d41V0x1702	0x223bB0x1d41B0x1702
0x1dafV0x13d30x4b8	0x1db9B0x13d30x4b8
0x20f0V0x13d30x4b8	0x4a10x20e8B0x13d30x4b8
0x20f4V0x13d30x4b8	0x1dacB0x13d30x4b8
0x1dafV0x13d30xbc4	0x1db9B0x13d30xbc4
0x20f0V0x13d30xbc4	0x4a10x20e8B0x13d30xbc4
0x20f4V0x13d30xbc4	0x1dacB0x13d30xbc4
0x1dafV0x13d30x13c5	0x1db9B0x13d30x13c5
0x20f0V0x13d30x13c5	0x4a10x20e8B0x13d30x13c5
0x20f4V0x13d30x13c5	0x1dacB0x13d30x13c5
0x2076V0x9b4	0x33d0B0x9b4
0x1c84V0x2071V0x9b4	0x32abB0x2071B0x9b4
0x20beV0x370	0x3466B0x370
0x20c3V0x370	0x1d23B0x370
0x1d24V0x370	0x3319B0x370
0x2224V0x1d23V0x370	0x4a10x2221B0x1d23B0x370
0x113cV0x438	0x2a52B0x438
0x1138V0x438	0x2a30B0x438
0x15cfV0x113cV0x438	0x2df8B0x113cB0x438
0x1c2bV0xa0f	0x1c33B0xa0f
0x1c36V0xa0f	0x325bB0xa0f
0x1a06V0x1c33V0xa0f	0x311dB0x1c33B0xa0f
0x2076V0x1208	0x33d0B0x1208
0x1c84V0x2071V0x1208	0x32abB0x2071B0x1208
0x1c2bV0x1260	0x1c33B0x1260
0x1c36V0x1260	0x325bB0x1260
0x1a06V0x1c33V0x1260	0x311dB0x1c33B0x1260
0x1c4aV0x29a	0x1c52B0x29a
0x1c55V0x29a	0x1c5eB0x29a
0x1c64V0x29a	0x3282B0x29a
0x19fbV0x1c52V0x29a	0x30f8B0x1c52B0x29a
0x19fbV0x1c5eV0x29a	0x30f8B0x1c5eB0x29a
0x1c4aV0x2df	0x1c52B0x2df
0x1c55V0x2df	0x1c5eB0x2df
0x1c64V0x2df	0x3282B0x2df
0x19fbV0x1c52V0x2df	0x30f8B0x1c52B0x2df
0x19fbV0x1c5eV0x2df	0x30f8B0x1c5eB0x2df
0x1bacV0x3e1	0x1bb4B0x3e1
0x1bb7V0x3e1	0x31e4B0x3e1
0x19daV0x1bb4V0x3e1	0x3089B0x1bb4B0x3e1
0x1bacV0x42a	0x1bb4B0x42a
0x1bb7V0x42a	0x31e4B0x42a
0x19daV0x1bb4V0x42a	0x3089B0x1bb4B0x42a
0x2076V0x2670x25f	0x33d0B0x2670x25f
