0x655e	0x661d
0x6560	0x6620
0x6562	0x6623
0x6564	0x6626
0x6566	0x6611
0x6568	0x6614
0x656a	0x6617
0x656c	0x661a
0x656e	0x6605
0x6570	0x6608
0x6572	0x660b
0x6574	0x660e
0x6576	0x65f9
0x6578	0x65fc
0x657a	0x65ff
0x657c	0x6602
0x657e	0x65ed
0x6580	0x65f0
0x6582	0x65f3
0x6584	0x65f6
0x6586	0x65e1
0x6588	0x65e4
0x658a	0x65e7
0x658c	0x65ea
0x658e	0x65d5
0x6590	0x65d8
0x6592	0x65db
0x6594	0x65de
0x6596	0x65c9
0x6598	0x65cc
0x659a	0x65cf
0x659c	0x65d2
0x659e	0x65bd
0x65a0	0x65c0
0x65a2	0x65c3
0x65a4	0x65c6
0x65a6	0x65b1
0x65a8	0x65b4
0x65aa	0x65b7
0x65ac	0x65ba
0xdcdV0x43a	0x5b9eB0x43a
0x1354V0x5b8	0x5d4bB0x5b8
0x4ae9V0x5cd	0x4af1B0x5cd
0x18f5V0x637	0x4f16B0x637
0x300bV0x637	0x301eB0x637
0x18beV0x637	0x18f9B0x637
0x18faV0x637	0x19030x18acB0x637
0x18ffV0x637	0x2f78B0x637
0x2ff1V0x637	0x3023B0x637
0x3024V0x637	0x302dB0x637
0x301fV0x637	0x3074B0x637
0x30a4V0x637	0x30afB0x637
0x3060V0x637	0x306aB0x637
0x4ae9V0x846	0x4af1B0x846
0x4ae9V0x8a4	0x4af1B0x8a4
0x4ae9V0xa28	0x4af1B0xa28
0x4ae9V0xaf9	0x4af1B0xaf9
0x3d2eV0x1f12	0x5285B0x1f12
0x3ceeV0x1f12	0x61a2B0x1f12
0x4ae9V0xc5c	0x4af1B0xc5c
0x4ae9V0xce4	0x4af1B0xce4
0x4b50V0x243f	0x4b3aB0x243f
0x4b59V0x243f	0x4b63B0x243f
0x4b3fV0x243f	0x4b54B0x243f
0x4c9dV0x11fd	0x4cb6B0x11fd
0x4c9dV0x2bdf	0x4cb6B0x2bdf
0x4b02V0x1519	0x4b0aB0x1519
0x4c9dV0x1565	0x4cb6B0x1565
0x4c9dV0x1596	0x4cb6B0x1596
0x4c9dV0x261d	0x4cb6B0x261d
0x4b02V0x2743	0x4b0aB0x2743
0x4c9dV0x279b	0x4cb6B0x279b
0x4c9dV0x27c0	0x4cb6B0x27c0
0x4c9dV0x2995	0x4cb6B0x2995
0x4b02V0x3130	0x4b0aB0x3130
0x4c9dV0x320e	0x4cb6B0x320e
0x4b02V0x34e7	0x4b0aB0x34e7
0x4b02V0x3602	0x4b0aB0x3602
0x4c9dV0x364e	0x4cb6B0x364e
0x4c9dV0x367f	0x4cb6B0x367f
0x4ba3V0x398e	0x4bbcB0x398e
0x4bb8V0x398e	0x4b9eB0x398e
0x4b02V0x3c06	0x4b0aB0x3c06
0x4e30V0x4735	0x6507B0x4735
0x4e30V0x4740	0x6507B0x4740
0x4e30V0x4750	0x6507B0x4750
0x4e30V0x4760	0x6507B0x4760
0x4e41V0x4770	0x6529B0x4770
0x4641V0x4780	0x6280B0x4780
0x4641V0x478e	0x6280B0x478e
0x4e30V0x47d1	0x6507B0x47d1
0x4e30V0x47dc	0x6507B0x47dc
0x4e30V0x47ec	0x6507B0x47ec
0x4e30V0x47fc	0x6507B0x47fc
0x4641V0x480c	0x6280B0x480c
0x4641V0x481a	0x6280B0x481a
0x4e30V0x48c7	0x6507B0x48c7
0x4e30V0x48d2	0x6507B0x48d2
0x4e30V0x48e2	0x6507B0x48e2
0x4e30V0x4921	0x6507B0x4921
0x4e30V0x492c	0x6507B0x492c
0x4e30V0x493c	0x6507B0x493c
0x4e30V0x494c	0x6507B0x494c
0x4e41V0x4963	0x6529B0x4963
0x4641V0x4973	0x6280B0x4973
0x4641V0x4981	0x6280B0x4981
0x4e30V0x49be	0x6507B0x49be
0x4e30V0x49c9	0x6507B0x49c9
0x4641V0x49d9	0x6280B0x49d9
0x4641V0x49e7	0x6280B0x49e7
0x4e30V0x4a65	0x6507B0x4a65
0x4e30V0x4a70	0x6507B0x4a70
0x4e30V0x4a9d	0x6507B0x4a9d
0x4cd8V0x4d80	0x5422B0x4d80
0x4ce1V0x4d80	0x4ce9B0x4d80
0x4cf2V0x4d80	0x4cc0B0x4d80
0x4cc5V0x4d80	0x4cf6B0x4d80
0x4cd1V0x4d80	0x4cdcB0x4d80
0x4653V0x3d3	0x465bB0x3d3
0x465eV0x3d3	0x62a4B0x3d3
0x4e30V0x465bV0x3d3	0x6507B0x465bB0x3d3
0x4653V0x418	0x465bB0x418
0x465eV0x418	0x62a4B0x418
0x4e30V0x465bV0x418	0x6507B0x465bB0x418
0x4a2eV0x45d	0x4a36B0x45d
0x4a39V0x45d	0x4a41B0x45d
0x4e30V0x4a36V0x45d	0x6507B0x4a36B0x45d
0x4653V0x47d	0x465bB0x47d
0x465eV0x47d	0x62a4B0x47d
0x4e30V0x465bV0x47d	0x6507B0x465bB0x47d
0xf28V0x48c	0x5c0eB0x48c
0xef9V0x48c	0xf0aB0x48c
0xf15V0x48c	0xf30B0x48c
0xfb9V0x49d	0x5c36B0x49d
0xf69V0x49d	0xf81B0x49d
0xf83V0x49d	0xfa5B0x49d
0xfa6V0x49d	0xfc1B0x49d
0xfc7V0x49d	0xfd0B0x49d
0xfd8V0x49d	0x5c5eB0x49d
0xf89V0x49d	0xf9aB0x49d
0x1015V0x4c8	0x5c80B0x4c8
0xfe6V0x4c8	0xff7B0x4c8
0x1002V0x4c8	0x101dB0x4c8
0x1052V0x4c8	0x105bB0x4c8
0x105cV0x4c8	0x1065B0x4c8
0x1066V0x4c8	0x106fB0x4c8
0x1092V0x4c8	0x109fB0x4c8
0x4653V0x4dd	0x465bB0x4dd
0x465eV0x4dd	0x62a4B0x4dd
