0xee	0xf6
0x1122V0x1673V0x426	0x112aB0x1673B0x426
0xeacV0x482	0xebeB0x482
0xec1V0x482	0xec9B0x482
0xecaV0x482	0xed2B0x482
0xed4V0x482	0xedcB0x482
0xeddV0x482	0xeecB0x482
0xefbV0x482	0xf03B0x482
0xf04V0x482	0xf0dB0x482
0xf0eV0x482	0xf1eB0x482
0xf1fV0x482	0xf3aB0x482
0xf22V0x482	0x1697B0x482
0xf27V0x482	0xf2eB0x482
0x1122V0x1697V0x482	0x112aB0x1697B0x482
0x1304V0xf2eV0x482	0x16bbB0xf2eB0x482
