0xef	0xf7
0x27c6V0xc9a	0x333cB0xc9a
0x333dV0xc9a	0x3357B0xc9a
0x3342V0xc9a	0x3349B0xc9a
0x2627V0xc9a	0x2606B0xc9a
0x2741V0xc9a	0x2720B0xc9a
0x4419V0x267fV0xc9a	0x4421B0x267fB0xc9a
0x441dV0x267fV0xc9a	0x3f37B0x267fB0xc9a
0x332eV0x2745V0xc9a	0x3333B0x2745B0xc9a
0x332eV0x3349V0xc9a	0x3333B0x3349B0xc9a
0x3934V0x164	0x393cB0x164
0x394eV0x164	0x3956B0x164
0x3957V0x164	0x3962B0x164
0x3979V0x164	0x3981B0x164
0x3982V0x164	0x398dB0x164
0x39a4V0x164	0x39acB0x164
0x39adV0x164	0x39b8B0x164
0x39c0V0x164	0x39cbB0x164
0x3503V0x3956V0x164	0x350bB0x3956B0x164
0x351bV0x3956V0x164	0x3523B0x3956B0x164
0x34eaV0x3956V0x164	0x34f2B0x3956B0x164
0x3503V0x3981V0x164	0x350bB0x3981B0x164
0x351bV0x3981V0x164	0x3523B0x3981B0x164
0x34eaV0x3981V0x164	0x34f2B0x3981B0x164
0x3503V0x39acV0x164	0x350bB0x39acB0x164
0x351bV0x39acV0x164	0x3523B0x39acB0x164
0x34eaV0x39acV0x164	0x34f2B0x39acB0x164
0x3583V0x39b8V0x164	0x358cB0x39b8B0x164
0x3588V0x39b8V0x164	0x45f7B0x39b8B0x164
0xd69V0x1b8	0xd70B0x1b8
0xe09V0x1b8	0xe27B0x1b8
0xe23V0x1b8	0xe02B0x1b8
0x416fV0x1c1	0x417bB0x1c1
0x3ab3V0x4166V0x1c1	0x3abbB0x4166B0x1c1
0x3ab7V0x4166V0x1c1	0x45a1B0x4166B0x1c1
0x388eV0x1e3	0x3896B0x1e3
0x38a8V0x1e3	0x38b0B0x1e3
0x38b1V0x1e3	0x38bcB0x1e3
0x38d3V0x1e3	0x38dbB0x1e3
0x38dcV0x1e3	0x38e7B0x1e3
0x38feV0x1e3	0x3906B0x1e3
0x3907V0x1e3	0x3912B0x1e3
0x3503V0x38b0V0x1e3	0x350bB0x38b0B0x1e3
0x351bV0x38b0V0x1e3	0x3523B0x38b0B0x1e3
0x34eaV0x38b0V0x1e3	0x34f2B0x38b0B0x1e3
0x3503V0x38dbV0x1e3	0x350bB0x38dbB0x1e3
0x351bV0x38dbV0x1e3	0x3523B0x38dbB0x1e3
0x34eaV0x38dbV0x1e3	0x34f2B0x38dbB0x1e3
0x3503V0x3906V0x1e3	0x350bB0x3906B0x1e3
0x351bV0x3906V0x1e3	0x3523B0x3906B0x1e3
0x34eaV0x3906V0x1e3	0x34f2B0x3906B0x1e3
0xd69V0xe7d	0xd70B0xe7d
0xe09V0xe7d	0xe27B0xe7d
0xe23V0xe7d	0xe02B0xe7d
0x365bV0x223	0x3663B0x223
0x3666V0x223	0x3671B0x223
0x3686V0x223	0x368eB0x223
0x368fV0x223	0x369aB0x223
0x36b1V0x223	0x36b9B0x223
0x36baV0x223	0x36c5B0x223
0x36dcV0x223	0x36e4B0x223
0x36e5V0x223	0x36f0B0x223
0x3491V0x3663V0x223	0x349aB0x3663B0x223
0x3496V0x3663V0x223	0x45c1B0x3663B0x223
0x3503V0x368eV0x223	0x350bB0x368eB0x223
0x351bV0x368eV0x223	0x3523B0x368eB0x223
0x34eaV0x368eV0x223	0x34f2B0x368eB0x223
0x3503V0x36b9V0x223	0x350bB0x36b9B0x223
0x351bV0x36b9V0x223	0x3523B0x36b9B0x223
0x34eaV0x36b9V0x223	0x34f2B0x36b9B0x223
0x3503V0x36e4V0x223	0x350bB0x36e4B0x223
0x351bV0x36e4V0x223	0x3523B0x36e4B0x223
0x34eaV0x36e4V0x223	0x34f2B0x36e4B0x223
0x17b9V0x2bc	0x17c1B0x2bc
0x1814V0x2bc	0x181cB0x2bc
0x167aV0x2bc	0x1681B0x2bc
0x178cV0x2bc	0x17caB0x2bc
0x171aV0x2bc	0x1738B0x2bc
0x17cbV0x2bc	0x17d2B0x2bc
0x17ebV0x2bc	0x1803B0x2bc
0x1825V0x2bc	0x182aB0x2bc
0x184bV0x2bc	0x180bB0x2bc
0x1810V0x2bc	0x184fB0x2bc
0x1734V0x2bc	0x1713B0x2bc
0x4359V0x1790V0x2bc	0x4361B0x1790B0x2bc
0x435dV0x1790V0x2bc	0x3d2fB0x1790B0x2bc
0x20edV0x1814V0x2bc	0x210bB0x1814B0x2bc
0x2107V0x1814V0x2bc	0x20e6B0x1814B0x2bc
0x35caV0x32a	0x35d2B0x32a
0x35d5V0x32a	0x35e0B0x32a
0x35e6V0x32a	0x35f1B0x32a
0x35f7V0x32a	0x3602B0x32a
0x3491V0x35d2V0x32a	0x349aB0x35d2B0x32a
0x3496V0x35d2V0x32a	0x45c1B0x35d2B0x32a
0x3491V0x35e0V0x32a	0x349aB0x35e0B0x32a
0x3496V0x35e0V0x32a	0x45c1B0x35e0B0x32a
0x3491V0x35f1V0x32a	0x349aB0x35f1B0x32a
0x3496V0x35f1V0x32a	0x45c1B0x35f1B0x32a
0x359eV0x396	0x35a6B0x396
0x35a9V0x396	0x35b4B0x396
0x3491V0x35a6V0x396	0x349aB0x35a6B0x396
0x3496V0x35a6V0x396	0x45c1B0x35a6B0x396
0xd69V0x4a2	0xd70B0x4a2
0xe09V0x4a2	0xe27B0x4a2
0xe23V0x4a2	0xe02B0x4a2
0x370bV0xa03	0x3713B0xa03
0x3716V0xa03	0x3721B0xa03
0x34a5V0x3713V0xa03	0x34aeB0x3713B0xa03
0x34aaV0x3713V0xa03	0x45e1B0x3713B0xa03
0xd69V0xa68	0xd70B0xa68
0xe09V0xa68	0xe27B0xa68
0xe23V0xa68	0xe02B0xa68
0x2ee1V0x1026	0x2f0eB0x1026
0x2e93V0x1026	0x2eb1B0x1026
0x2fbdV0x1026	0x2fd7B0x1026
0x2fc2V0x1026	0x2fc9B0x1026
0x2f6fV0x1026	0x2f8dB0x1026
0x3038V0x1026	0x3056B0x1026
0x320aV0x1026	0x3211B0x1026
0x320dV0x1026	0x33c5B0x1026
0x3107V0x1026	0x3125B0x1026
0x33c6V0x1026	0x33e0B0x1026
0x33cbV0x1026	0x33d2B0x1026
0x2eadV0x1026	0x2e8cB0x1026
0x2f89V0x1026	0x2f68B0x1026
0x3052V0x1026	0x3031B0x1026
0x3121V0x1026	0x3100B0x1026
0x33b5V0x2eb1V0x1026	0x33baB0x2eb1B0x1026
0x33b5V0x2fc9V0x1026	0x33baB0x2fc9B0x1026
0x33b5V0x33d2V0x1026	0x33baB0x33d2B0x1026
0xd69V0x1112	0xd70B0x1112
0xe09V0x1112	0xe27B0x1112
0xe23V0x1112	0xe02B0x1112
0x3245V0x1a7f	0x324cB0x1a7f
0x4229V0x100	0x4235B0x100
0x4231V0x100	0x3ad0B0x100
0x3ad1V0x100	0x3ad9B0x100
0x4604V0x3ad0V0x100	0x460cB0x3ad0B0x100
0x4110V0x196	0x411cB0x196
0x39dbV0x4107V0x196	0x39e3B0x4107B0x196
0x41a5V0x23e	0x41b1B0x23e
0x41b2V0x23e	0x41beB0x23e
0x41bfV0x23e	0x41cbB0x23e
0x41d4V0x23e	0x41ddB0x23e
0x41e8V0x23e	0x41f1B0x23e
0x41fcV0x23e	0x4205B0x23e
0x4208V0x23e	0x4214B0x23e
0x3ac2V0x419cV0x23e	0x3acaB0x419cB0x23e
0x3ac6V0x419cV0x23e	0x45adB0x419cB0x23e
0x40f9V0x41b1V0x23e	0x4101B0x41b1B0x23e
0x40fdV0x41b1V0x23e	0x45b7B0x41b1B0x23e
0x3ab3V0x4205V0x23e	0x3abbB0x4205B0x23e
0x3ab7V0x4205V0x23e	0x45a1B0x4205B0x23e
0x39dbV0x41beV0x23e	0x39e3B0x41beB0x23e
0x3b27V0x41cbV0x23e	0x3b37B0x41cbB0x23e
0x3b38V0x41cbV0x23e	0x3b40B0x41cbB0x23e
0x3b1bV0x41cbV0x23e	0x3b23B0x41cbB0x23e
0x3b1fV0x41cbV0x23e	0x455cB0x41cbB0x23e
0x4657V0x3b23V0x41cbV0x23e	0x4661B0x3b23B0x41cbB0x23e
0x463cV0x3b23V0x41cbV0x23e	0x4652B0x3b23B0x41cbB0x23e
0x464eV0x3b23V0x41cbV0x23e	0x4637B0x3b23B0x41cbB0x23e
0x3b27V0x41ddV0x23e	0x3b37B0x41ddB0x23e
0x3b38V0x41ddV0x23e	0x3b40B0x41ddB0x23e
0x3b1bV0x41ddV0x23e	0x3b23B0x41ddB0x23e
0x3b1fV0x41ddV0x23e	0x455cB0x41ddB0x23e
0x4657V0x3b23V0x41ddV0x23e	0x4661B0x3b23B0x41ddB0x23e
0x463cV0x3b23V0x41ddV0x23e	0x4652B0x3b23B0x41ddB0x23e
0x464eV0x3b23V0x41ddV0x23e	0x4637B0x3b23B0x41ddB0x23e
0x3b27V0x41f1V0x23e	0x3b37B0x41f1B0x23e
0x3b38V0x41f1V0x23e	0x3b40B0x41f1B0x23e
0x3b1bV0x41f1V0x23e	0x3b23B0x41f1B0x23e
0x3b1fV0x41f1V0x23e	0x455cB0x41f1B0x23e
0x4657V0x3b23V0x41f1V0x23e	0x4661B0x3b23B0x41f1B0x23e
0x463cV0x3b23V0x41f1V0x23e	0x4652B0x3b23B0x41f1B0x23e
0x464eV0x3b23V0x41f1V0x23e	0x4637B0x3b23B0x41f1B0x23e
0x4110V0x26f	0x411cB0x26f
0x39dbV0x4107V0x26f	0x39e3B0x4107B0x26f
0x4244V0x29a	0x4250B0x29a
0x424cV0x29a	0x3adfB0x29a
0x3ae0V0x29a	0x3ae8B0x29a
0x4616V0x3adfV0x29a	0x461eB0x3adfB0x29a
0x4133V0x2c5	0x413cB0x2c5
0x3a12V0x4122V0x2c5	0x3a1cB0x4122B0x2c5
0x39feV0x4122V0x2c5	0x3a06B0x4122B0x2c5
0x3a02V0x4122V0x2c5	0x4521B0x4122B0x2c5
0x3a1dV0x4122V0x2c5	0x3a25B0x4122B0x2c5
0x3a21V0x4122V0x2c5	0x4567B0x4122B0x2c5
0x3a34V0x4122V0x2c5	0x3a09B0x4122B0x2c5
0x3a0eV0x4122V0x2c5	0x3a38B0x4122B0x2c5
0x39ecV0x4122V0x2c5	0x39f4B0x4122B0x2c5
0x39f0V0x4122V0x2c5	0x453bB0x4122B0x2c5
0x3ac2V0x3a12V0x4122V0x2c5	0x3acaB0x3a12B0x4122B0x2c5
0x3ac6V0x3a12V0x4122V0x2c5	0x45adB0x3a12B0x4122B0x2c5
0x3617V0x2e7	0x361fB0x2e7
0x3622V0x2e7	0x362dB0x2e7
0x3633V0x2e7	0x363eB0x2e7
0x3491V0x361fV0x2e7	0x349aB0x361fB0x2e7
0x3496V0x361fV0x2e7	0x45c1B0x361fB0x2e7
0x34b9V0x362dV0x2e7	0x34c2B0x362dB0x2e7
0x41a5V0x302	0x41b1B0x302
0x41b2V0x302	0x41beB0x302
0x41bfV0x302	0x41cbB0x302
0x41d4V0x302	0x41ddB0x302
0x41e8V0x302	0x41f1B0x302
0x41fcV0x302	0x4205B0x302
0x4208V0x302	0x4214B0x302
0x3ac2V0x419cV0x302	0x3acaB0x419cB0x302
0x3ac6V0x419cV0x302	0x45adB0x419cB0x302
0x40f9V0x41b1V0x302	0x4101B0x41b1B0x302
0x40fdV0x41b1V0x302	0x45b7B0x41b1B0x302
0x3ab3V0x4205V0x302	0x3abbB0x4205B0x302
0x3ab7V0x4205V0x302	0x45a1B0x4205B0x302
0x39dbV0x41beV0x302	0x39e3B0x41beB0x302
0x3b27V0x41cbV0x302	0x3b37B0x41cbB0x302
0x3b38V0x41cbV0x302	0x3b40B0x41cbB0x302
0x3b1bV0x41cbV0x302	0x3b23B0x41cbB0x302
0x3b1fV0x41cbV0x302	0x455cB0x41cbB0x302
0x4657V0x3b23V0x41cbV0x302	0x4661B0x3b23B0x41cbB0x302
0x463cV0x3b23V0x41cbV0x302	0x4652B0x3b23B0x41cbB0x302
0x464eV0x3b23V0x41cbV0x302	0x4637B0x3b23B0x41cbB0x302
0x3b27V0x41ddV0x302	0x3b37B0x41ddB0x302
0x3b38V0x41ddV0x302	0x3b40B0x41ddB0x302
0x3b1bV0x41ddV0x302	0x3b23B0x41ddB0x302
0x3b1fV0x41ddV0x302	0x455cB0x41ddB0x302
0x4657V0x3b23V0x41ddV0x302	0x4661B0x3b23B0x41ddB0x302
0x463cV0x3b23V0x41ddV0x302	0x4652B0x3b23B0x41ddB0x302
0x464eV0x3b23V0x41ddV0x302	0x4637B0x3b23B0x41ddB0x302
0x3b27V0x41f1V0x302	0x3b37B0x41f1B0x302
0x3b38V0x41f1V0x302	0x3b40B0x41f1B0x302
0x3b1bV0x41f1V0x302	0x3b23B0x41f1B0x302
0x3b1fV0x41f1V0x302	0x455cB0x41f1B0x302
0x4657V0x3b23V0x41f1V0x302	0x4661B0x3b23B0x41f1B0x302
0x463cV0x3b23V0x41f1V0x302	0x4652B0x3b23B0x41f1B0x302
0x464eV0x3b23V0x41f1V0x302	0x4637B0x3b23B0x41f1B0x302
0x3734V0x353	0x373cB0x353
0x373fV0x353	0x374aB0x353
0x34b9V0x373cV0x353	0x34c2B0x373cB0x353
0x41a5V0x36e	0x41b1B0x36e
0x41b2V0x36e	0x41beB0x36e
0x41bfV0x36e	0x41cbB0x36e
0x41d4V0x36e	0x41ddB0x36e
0x41e8V0x36e	0x41f1B0x36e
0x41fcV0x36e	0x4205B0x36e
0x4208V0x36e	0x4214B0x36e
0x3ac2V0x419cV0x36e	0x3acaB0x419cB0x36e
0x3ac6V0x419cV0x36e	0x45adB0x419cB0x36e
0x40f9V0x41b1V0x36e	0x4101B0x41b1B0x36e
0x40fdV0x41b1V0x36e	0x45b7B0x41b1B0x36e
0x3ab3V0x4205V0x36e	0x3abbB0x4205B0x36e
0x3ab7V0x4205V0x36e	0x45a1B0x4205B0x36e
0x39dbV0x41beV0x36e	0x39e3B0x41beB0x36e
0x3b27V0x41cbV0x36e	0x3b37B0x41cbB0x36e
0x3b38V0x41cbV0x36e	0x3b40B0x41cbB0x36e
0x3b1bV0x41cbV0x36e	0x3b23B0x41cbB0x36e
0x3b1fV0x41cbV0x36e	0x455cB0x41cbB0x36e
0x4657V0x3b23V0x41cbV0x36e	0x4661B0x3b23B0x41cbB0x36e
0x463cV0x3b23V0x41cbV0x36e	0x4652B0x3b23B0x41cbB0x36e
0x464eV0x3b23V0x41cbV0x36e	0x4637B0x3b23B0x41cbB0x36e
0x3b27V0x41ddV0x36e	0x3b37B0x41ddB0x36e
0x3b38V0x41ddV0x36e	0x3b40B0x41ddB0x36e
0x3b1bV0x41ddV0x36e	0x3b23B0x41ddB0x36e
0x3b1fV0x41ddV0x36e	0x455cB0x41ddB0x36e
0x4657V0x3b23V0x41ddV0x36e	0x4661B0x3b23B0x41ddB0x36e
0x463cV0x3b23V0x41ddV0x36e	0x4652B0x3b23B0x41ddB0x36e
0x464eV0x3b23V0x41ddV0x36e	0x4637B0x3b23B0x41ddB0x36e
0x3b27V0x41f1V0x36e	0x3b37B0x41f1B0x36e
0x3b38V0x41f1V0x36e	0x3b40B0x41f1B0x36e
0x3b1bV0x41f1V0x36e	0x3b23B0x41f1B0x36e
0x3b1fV0x41f1V0x36e	0x455cB0x41f1B0x36e
0x4657V0x3b23V0x41f1V0x36e	0x4661B0x3b23B0x41f1B0x36e
0x463cV0x3b23V0x41f1V0x36e	0x4652B0x3b23B0x41f1B0x36e
0x464eV0x3b23V0x41f1V0x36e	0x4637B0x3b23B0x41f1B0x36e
0x1fa2V0x3ac	0x1faaB0x3ac
0x2014V0x3ac	0x201cB0x3ac
0x1f3dV0x3ac	0x1f44B0x3ac
0x1f75V0x3ac	0x1fb3B0x3ac
0x1fe7V0x3ac	0x2025B0x3ac
0x2026V0x3ac	0x202eB0x3ac
0x42b9V0x1f79V0x3ac	0x42c1B0x1f79B0x3ac
0x42bdV0x1f79V0x3ac	0x3b84B0x1f79B0x3ac
0x42f9V0x1febV0x3ac	0x4301B0x1febB0x3ac
0x42fdV0x1febV0x3ac	0x3c3eB0x1febB0x3ac
0x3245V0x2025V0x3ac	0x324cB0x2025B0x3ac
0x4110V0x981	0x411cB0x981
0x39dbV0x4107V0x981	0x39e3B0x4107B0x981
0x4267V0xb07	0x4271B0xb07
0x427cV0xb07	0x4286B0xb07
0x4291V0xb07	0x429bB0xb07
0x3b05V0x4256V0xb07	0x3b0dB0x4256B0xb07
0x3afaV0x4256V0xb07	0x3b04B0x4256B0xb07
0x3b00V0x4256V0xb07	0x4625B0x4256B0xb07
0x3b05V0x4271V0xb07	0x3b0dB0x4271B0xb07
0x3afaV0x4271V0xb07	0x3b04B0x4271B0xb07
0x3b00V0x4271V0xb07	0x4625B0x4271B0xb07
0x3b05V0x4286V0xb07	0x3b0dB0x4286B0xb07
0x3afaV0x4286V0xb07	0x3b04B0x4286B0xb07
0x3b00V0x4286V0xb07	0x4625B0x4286B0xb07
0x3768V0xb93	0x3770B0xb93
0x3773V0xb93	0x377eB0xb93
0x3793V0xb93	0x379bB0xb93
0x379cV0xb93	0x37a7B0xb93
0x37bcV0xb93	0x37c4B0xb93
0x37c5V0xb93	0x37d0B0xb93
0x37e5V0xb93	0x37edB0xb93
0x37eeV0xb93	0x37f9B0xb93
0x380eV0xb93	0x3816B0xb93
0x3817V0xb93	0x3822B0xb93
0x3837V0xb93	0x383fB0xb93
0x3840V0xb93	0x384bB0xb93
0x3851V0xb93	0x385cB0xb93
0x3862V0xb93	0x386dB0xb93
0x34a5V0x385cV0xb93	0x34aeB0x385cB0xb93
0x34aaV0x385cV0xb93	0x45e1B0x385cB0xb93
0x34cdV0x3770V0xb93	0x34d6B0x3770B0xb93
0x34cdV0x384bV0xb93	0x34d6B0x384bB0xb93
0x4471V0xcc1	0x447dB0xcc1
0x4486V0xcc1	0x4490B0xcc1
0x449bV0xcc1	0x44a5B0xcc1
0x44b0V0xcc1	0x44baB0xcc1
0x40f9V0x4468V0xcc1	0x4101B0x4468B0xcc1
0x40fdV0x4468V0xcc1	0x45b7B0x4468B0xcc1
0x3b05V0x447dV0xcc1	0x3b0dB0x447dB0xcc1
0x3afaV0x447dV0xcc1	0x3b04B0x447dB0xcc1
0x3b00V0x447dV0xcc1	0x4625B0x447dB0xcc1
0x3b05V0x4490V0xcc1	0x3b0dB0x4490B0xcc1
0x3afaV0x4490V0xcc1	0x3b04B0x4490B0xcc1
0x3b00V0x4490V0xcc1	0x4625B0x4490B0xcc1
0x3b05V0x44a5V0xcc1	0x3b0dB0x44a5B0xcc1
0x3afaV0x44a5V0xcc1	0x3b04B0x44a5B0xcc1
0x3b00V0x44a5V0xcc1	0x4625B0x44a5B0xcc1
0x4267V0xed2	0x4271B0xed2
0x427cV0xed2	0x4286B0xed2
0x4291V0xed2	0x429bB0xed2
0x3b05V0x4256V0xed2	0x3b0dB0x4256B0xed2
0x3afaV0x4256V0xed2	0x3b04B0x4256B0xed2
0x3b00V0x4256V0xed2	0x4625B0x4256B0xed2
0x3b05V0x4271V0xed2	0x3b0dB0x4271B0xed2
0x3afaV0x4271V0xed2	0x3b04B0x4271B0xed2
0x3b00V0x4271V0xed2	0x4625B0x4271B0xed2
0x3b05V0x4286V0xed2	0x3b0dB0x4286B0xed2
0x3afaV0x4286V0xed2	0x3b04B0x4286B0xed2
0x3b00V0x4286V0xed2	0x4625B0x4286B0xed2
0x3768V0xf5e	0x3770B0xf5e
0x3773V0xf5e	0x377eB0xf5e
0x3793V0xf5e	0x379bB0xf5e
0x379cV0xf5e	0x37a7B0xf5e
0x37bcV0xf5e	0x37c4B0xf5e
0x37c5V0xf5e	0x37d0B0xf5e
0x37e5V0xf5e	0x37edB0xf5e
0x37eeV0xf5e	0x37f9B0xf5e
0x380eV0xf5e	0x3816B0xf5e
0x3817V0xf5e	0x3822B0xf5e
0x3837V0xf5e	0x383fB0xf5e
0x3840V0xf5e	0x384bB0xf5e
0x3851V0xf5e	0x385cB0xf5e
0x3862V0xf5e	0x386dB0xf5e
0x34a5V0x385cV0xf5e	0x34aeB0x385cB0xf5e
0x34aaV0x385cV0xf5e	0x45e1B0x385cB0xf5e
0x34cdV0x3770V0xf5e	0x34d6B0x3770B0xf5e
0x34cdV0x384bV0xf5e	0x34d6B0x384bB0xf5e
0x4267V0x102f	0x4271B0x102f
0x427cV0x102f	0x4286B0x102f
0x4291V0x102f	0x429bB0x102f
0x3b05V0x4256V0x102f	0x3b0dB0x4256B0x102f
0x3afaV0x4256V0x102f	0x3b04B0x4256B0x102f
0x3b00V0x4256V0x102f	0x4625B0x4256B0x102f
0x3b05V0x4271V0x102f	0x3b0dB0x4271B0x102f
0x3afaV0x4271V0x102f	0x3b04B0x4271B0x102f
0x3b00V0x4271V0x102f	0x4625B0x4271B0x102f
0x3b05V0x4286V0x102f	0x3b0dB0x4286B0x102f
0x3afaV0x4286V0x102f	0x3b04B0x4286B0x102f
0x3b00V0x4286V0x102f	0x4625B0x4286B0x102f
0x78eV0x139	0x796B0x139
0x7f4V0x139	0x7fcB0x139
0x64fV0x139	0x656B0x139
0x761V0x139	0x79fB0x139
0x6efV0x139	0x70dB0x139
0x7a0V0x139	0x7a7B0x139
0x7c0V0x139	0x7e3B0x139
0x7ddV0x139	0x7c8B0x139
0x7c9V0x139	0x7d0B0x139
0x7ccV0x139	0x3435B0x139
0x7ffV0x139	0x807B0x139
0x80aV0x139	0x811B0x139
0x85cV0x139	0x865B0x139
0x877V0x139	0x87fB0x139
0x886V0x139	0x893B0x139
0x8b0V0x139	0x8bcB0x139
0x8f4V0x139	0x8fcB0x139
0x902V0x139	0x90aB0x139
0x946V0x139	0x94bB0x139
0x961V0x139	0x7ebB0x139
0x7f0V0x139	0x965B0x139
0x709V0x139	0x6e8B0x139
0x4359V0x765V0x139	0x4361B0x765B0x139
0x435dV0x765V0x139	0x3d2fB0x765B0x139
