0x72f	0x73d	-32
0x1e63	0x2022	68
0x1e63	0x2061	68
0x1e63	0x2170	68
0x1e63	0x22a9	68
0x1e63	0x55f60x55a8S0x226b	68
0x1e7c	0x1ec7	36
0x1ecb	0x1ec7	36
0x1ee3	0x1f2e	36
0x1f32	0x1f2e	36
0x1f49	0x1fb9	0
0x1f49	0x1ffe	0
0x1f49	0x2042	0
0x1f49	0x214f	0
0x1f49	0x228b	0
0x1f49	0x55c20x55a8S0x226b	0
0x1f49	0x1fc0	4
0x1f49	0x2005	4
0x1f49	0x2049	4
0x1f49	0x2156	4
0x1f49	0x2292	4
0x1f49	0x55c90x55a8S0x226b	4
0x1f49	0x1f96	36
0x1f49	0x1fc7	36
0x1f49	0x200c	36
0x1f49	0x2050	36
0x1f49	0x20be	36
0x1f49	0x212a	36
0x1f49	0x215d	36
0x1f49	0x21cd	36
0x1f49	0x2245	36
0x1f49	0x2299	36
0x1f49	0x55d00x55a8S0x226b	36
0x1f49	0x1fdd	68
0x1f49	0x2022	68
0x1f49	0x2061	68
0x1f49	0x2170	68
0x1f49	0x22a9	68
0x1f49	0x55f60x55a8S0x226b	68
0x1f9a	0x1fb9	0
0x1f9a	0x1ffe	0
0x1f9a	0x2042	0
0x1f9a	0x214f	0
0x1f9a	0x228b	0
0x1f9a	0x55c20x55a8S0x226b	0
0x1f9a	0x1fc0	4
0x1f9a	0x2005	4
0x1f9a	0x2049	4
0x1f9a	0x2156	4
0x1f9a	0x2292	4
0x1f9a	0x55c90x55a8S0x226b	4
0x1f9a	0x1f96	36
0x1f9a	0x1fc7	36
0x1f9a	0x200c	36
0x1f9a	0x2050	36
0x1f9a	0x20be	36
0x1f9a	0x212a	36
0x1f9a	0x215d	36
0x1f9a	0x21cd	36
0x1f9a	0x2245	36
0x1f9a	0x2299	36
0x1f9a	0x55d00x55a8S0x226b	36
0x1f9a	0x1fdd	68
0x1f9a	0x2022	68
0x1f9a	0x2061	68
0x1f9a	0x2170	68
0x1f9a	0x22a9	68
0x1f9a	0x55f60x55a8S0x226b	68
0x1fc6	0x1fb9	-68
0x1fc6	0x1fc0	-64
0x1fc6	0x1fc7	-32
0x1fc6	0x1fdd	0
0x200b	0x1ffe	-68
0x200b	0x2005	-64
0x200b	0x200c	-32
0x200b	0x2022	0
0x204f	0x2042	-68
0x204f	0x2049	-64
0x204f	0x2050	-32
0x204f	0x2061	0
0x2073	0x214f	0
0x2073	0x228b	0
0x2073	0x55c20x55a8S0x226b	0
0x2073	0x2156	4
0x2073	0x2292	4
0x2073	0x55c90x55a8S0x226b	4
0x2073	0x20be	36
0x2073	0x212a	36
0x2073	0x215d	36
0x2073	0x21cd	36
0x2073	0x2245	36
0x2073	0x2299	36
0x2073	0x55d00x55a8S0x226b	36
0x2073	0x2170	68
0x2073	0x22a9	68
0x2073	0x55f60x55a8S0x226b	68
0x20c2	0x214f	0
0x20c2	0x228b	0
0x20c2	0x55c20x55a8S0x226b	0
0x20c2	0x2156	4
0x20c2	0x2292	4
0x20c2	0x55c90x55a8S0x226b	4
0x20c2	0x20be	36
0x20c2	0x212a	36
0x20c2	0x215d	36
0x20c2	0x21cd	36
0x20c2	0x2245	36
0x20c2	0x2299	36
0x20c2	0x55d00x55a8S0x226b	36
0x20c2	0x2170	68
0x20c2	0x22a9	68
0x20c2	0x55f60x55a8S0x226b	68
0x20df	0x212a	36
0x212e	0x212a	36
0x215c	0x214f	-68
0x215c	0x2156	-64
0x215c	0x215d	-32
0x215c	0x2170	0
0x2182	0x228b	0
0x2182	0x55c20x55a8S0x226b	0
0x2182	0x2292	4
0x2182	0x55c90x55a8S0x226b	4
0x2182	0x21cd	36
0x2182	0x2245	36
0x2182	0x2299	36
0x2182	0x55d00x55a8S0x226b	36
0x2182	0x22a9	68
0x2182	0x55f60x55a8S0x226b	68
0x21d1	0x228b	0
0x21d1	0x55c20x55a8S0x226b	0
0x21d1	0x2292	4
0x21d1	0x55c90x55a8S0x226b	4
0x21d1	0x21cd	36
0x21d1	0x2245	36
0x21d1	0x2299	36
0x21d1	0x55d00x55a8S0x226b	36
0x21d1	0x22a9	68
0x21d1	0x55f60x55a8S0x226b	68
0x21fa	0x2245	36
0x2249	0x2245	36
0x2298	0x228b	-68
0x2298	0x2292	-64
0x2298	0x2299	-32
0x2298	0x22a9	0
0x2312	0x2305	-68
0x2312	0x230c	-64
0x2312	0x2313	-32
0x2312	0x2325	0
0x2378	0x236b	-68
0x2378	0x2372	-64
0x2378	0x2379	-32
0x2378	0x238d	0
0x23c6	0x24f4	0
0x23c6	0x2546	0
0x23c6	0x25c8	0
0x23c6	0x260a	0
0x23c6	0x267c	0
0x23c6	0x26fe	0
0x23c6	0x55c20x696	0
0x23c6	0x2556	4
0x23c6	0x25cf	4
0x23c6	0x261a	4
0x23c6	0x268c	4
0x23c6	0x2705	4
0x23c6	0x55c90x696	4
0x23c6	0x2411	36
0x23c6	0x24e0	36
0x23c6	0x255d	36
0x23c6	0x25d6	36
0x23c6	0x2621	36
0x23c6	0x2693	36
0x23c6	0x270c	36
0x23c6	0x24780x696	36
0x23c6	0x55d00x696	36
0x23c6	0x25ed	68
0x23c6	0x2724	68
0x23c6	0x55f60x696	68
0x2415	0x24f4	0
0x2415	0x2546	0
0x2415	0x25c8	0
0x2415	0x260a	0
0x2415	0x267c	0
0x2415	0x26fe	0
0x2415	0x55c20x696	0
0x2415	0x2556	4
0x2415	0x25cf	4
0x2415	0x261a	4
0x2415	0x268c	4
0x2415	0x2705	4
0x2415	0x55c90x696	4
0x2415	0x2411	36
0x2415	0x24e0	36
0x2415	0x255d	36
0x2415	0x25d6	36
0x2415	0x2621	36
0x2415	0x2693	36
0x2415	0x270c	36
0x2415	0x24780x696	36
0x2415	0x55d00x696	36
0x2415	0x25ed	68
0x2415	0x2724	68
0x2415	0x55f60x696	68
0x2495	0x24f4	0
0x2495	0x2546	0
0x2495	0x25c8	0
0x2495	0x260a	0
0x2495	0x267c	0
0x2495	0x26fe	0
0x2495	0x2556	4
0x2495	0x25cf	4
0x2495	0x261a	4
0x2495	0x268c	4
0x2495	0x2705	4
0x2495	0x24e0	36
0x2495	0x255d	36
0x2495	0x25d6	36
0x2495	0x2621	36
0x2495	0x2693	36
0x2495	0x270c	36
0x2495	0x25ed	68
0x2495	0x2724	68
0x24e5	0x24f4	0
0x24e5	0x2546	0
0x24e5	0x25c8	0
0x24e5	0x260a	0
0x24e5	0x267c	0
0x24e5	0x26fe	0
0x24e5	0x2556	4
0x24e5	0x25cf	4
0x24e5	0x261a	4
0x24e5	0x268c	4
0x24e5	0x2705	4
0x24e5	0x24e0	36
0x24e5	0x255d	36
0x24e5	0x25d6	36
0x24e5	0x2621	36
0x24e5	0x2693	36
0x24e5	0x270c	36
0x24e5	0x25ed	68
0x24e5	0x2724	68
0x25d5	0x25c8	-68
0x25d5	0x25cf	-64
0x25d5	0x25d6	-32
0x25d5	0x25ed	0
0x270b	0x26fe	-68
0x270b	0x2705	-64
0x270b	0x270c	-32
0x270b	0x2724	0
0x2796	0x2789	-68
0x2796	0x2790	-64
0x2796	0x2797	-32
0x2796	0x27ad	0
0x2822	0x286d	36
0x2871	0x286d	36
0x28ad	0x28a0	-68
0x28ad	0x28a7	-64
0x28ad	0x28ae	-32
0x28ad	0x28c2	0
0x28d5	0x2a7b	0
0x28d5	0x2a9f	0
0x28d5	0x2ace	0
0x28d5	0x2b54	0
0x28d5	0x2b9a	0
0x28d5	0x2c1c	0
0x28d5	0x55c20x76f	0
0x28d5	0x2ad4	4
0x28d5	0x2b5b	4
0x28d5	0x2baa	4
0x28d5	0x2c23	4
0x28d5	0x55c90x76f	4
0x28d5	0x2aa7	32
0x28d5	0x2920	36
0x28d5	0x2985	36
0x28d5	0x2a3d	36
0x28d5	0x2ada	36
0x28d5	0x2b62	36
0x28d5	0x2bb1	36
0x28d5	0x2c2a	36
0x28d5	0x24780x76f	36
0x28d5	0x55d00x76f	36
0x28d5	0x2aae	64
0x28d5	0x2ae1	68
0x28d5	0x2b7a	68
0x28d5	0x2c42	68
0x28d5	0x55f60x76f	68
0x28d5	0x2ab3	96
0x2924	0x2a7b	0
0x2924	0x2a9f	0
0x2924	0x2ace	0
0x2924	0x2b54	0
0x2924	0x2b9a	0
0x2924	0x2c1c	0
0x2924	0x55c20x76f	0
0x2924	0x2ad4	4
0x2924	0x2b5b	4
0x2924	0x2baa	4
0x2924	0x2c23	4
0x2924	0x55c90x76f	4
0x2924	0x2aa7	32
0x2924	0x2920	36
0x2924	0x2985	36
0x2924	0x2a3d	36
0x2924	0x2ada	36
0x2924	0x2b62	36
0x2924	0x2bb1	36
0x2924	0x2c2a	36
0x2924	0x24780x76f	36
0x2924	0x55d00x76f	36
0x2924	0x2aae	64
0x2924	0x2ae1	68
0x2924	0x2b7a	68
0x2924	0x2c42	68
0x2924	0x55f60x76f	68
0x2924	0x2ab3	96
0x298a	0x2a7b	0
0x298a	0x2a9f	0
0x298a	0x2ace	0
0x298a	0x2b54	0
0x298a	0x2b9a	0
0x298a	0x2c1c	0
0x298a	0x55c20x76f	0
0x298a	0x2ad4	4
0x298a	0x2b5b	4
0x298a	0x2baa	4
0x298a	0x2c23	4
0x298a	0x55c90x76f	4
0x298a	0x2aa7	32
0x298a	0x2985	36
0x298a	0x2a3d	36
0x298a	0x2ada	36
0x298a	0x2b62	36
0x298a	0x2bb1	36
0x298a	0x2c2a	36
0x298a	0x24780x76f	36
0x298a	0x55d00x76f	36
0x298a	0x2aae	64
0x298a	0x2ae1	68
0x298a	0x2b7a	68
0x298a	0x2c42	68
0x298a	0x55f60x76f	68
0x298a	0x2ab3	96
0x2a41	0x2a7b	0
0x2a41	0x2a9f	0
0x2a41	0x2ace	0
0x2a41	0x2b54	0
0x2a41	0x2b9a	0
0x2a41	0x2c1c	0
0x2a41	0x55c20x76f	0
0x2a41	0x2ad4	4
0x2a41	0x2b5b	4
0x2a41	0x2baa	4
0x2a41	0x2c23	4
0x2a41	0x55c90x76f	4
0x2a41	0x2aa7	32
0x2a41	0x2a3d	36
0x2a41	0x2ada	36
0x2a41	0x2b62	36
0x2a41	0x2bb1	36
0x2a41	0x2c2a	36
0x2a41	0x24780x76f	36
0x2a41	0x55d00x76f	36
0x2a41	0x2aae	64
0x2a41	0x2ae1	68
0x2a41	0x2b7a	68
0x2a41	0x2c42	68
0x2a41	0x55f60x76f	68
0x2a41	0x2ab3	96
0x2b61	0x2b54	-68
0x2b61	0x2b5b	-64
0x2b61	0x2b62	-32
0x2b61	0x2b7a	0
0x2c29	0x2c1c	-68
0x2c29	0x2c23	-64
0x2c29	0x2c2a	-32
0x2c29	0x2c42	0
0x2d03	0x2cf6	-68
0x2d03	0x2cfd	-64
0x2d03	0x2d04	-32
0x2d03	0x2d1d	0
0x2f07	0x6574	0
0x2f07	0x2f52	36
0x2f56	0x6574	0
0x2f56	0x2f52	36
0x30cd	0x322b	0
0x30cd	0x3236	32
0x30cd	0x3118	36
0x30cd	0x317e	36
0x30cd	0x3210	36
0x30cd	0x323d	64
0x311c	0x322b	0
0x311c	0x3236	32
0x311c	0x3118	36
0x311c	0x317e	36
0x311c	0x3210	36
0x311c	0x323d	64
0x3182	0x322b	0
0x3182	0x3236	32
0x3182	0x317e	36
0x3182	0x3210	36
0x3182	0x323d	64
0x3215	0x322b	0
0x3215	0x3236	32
0x3215	0x3210	36
0x3215	0x323d	64
0x32cd	0x32db	-32
0x331e	0x3311	-68
0x331e	0x3318	-64
0x331e	0x331f	-32
0x331e	0x3334	0
0x3369	0x335c	-68
0x3369	0x3363	-64
0x3369	0x336a	-32
0x3369	0x337b	0
0x33b0	0x33a3	-68
0x33b0	0x33aa	-64
0x33b0	0x33b1	-32
0x33b0	0x33c2	0
0x33d4	0x344e	0
0x33d4	0x3497	0
0x33d4	0x34e9	0
0x33d4	0x3662	0
0x33d4	0x55c20xb78	0
0x33d4	0x3455	4
0x33d4	0x349e	4
0x33d4	0x55c90xb78	4
0x33d4	0x3669	32
0x33d4	0x341f	36
0x33d4	0x345c	36
0x33d4	0x34a5	36
0x33d4	0x354d	36
0x33d4	0x35dd	36
0x33d4	0x3647	36
0x33d4	0x24780xb78	36
0x33d4	0x55d00xb78	36
0x33d4	0x3672	64
0x33d4	0x3470	68
0x33d4	0x34b9	68
0x33d4	0x55f60xb78	68
0x33d4	0x367a	96
0x3423	0x344e	0
0x3423	0x3497	0
0x3423	0x34e9	0
0x3423	0x3662	0
0x3423	0x55c20xb78	0
0x3423	0x3455	4
0x3423	0x349e	4
0x3423	0x55c90xb78	4
0x3423	0x3669	32
0x3423	0x341f	36
0x3423	0x345c	36
0x3423	0x34a5	36
0x3423	0x354d	36
0x3423	0x35dd	36
0x3423	0x3647	36
0x3423	0x24780xb78	36
0x3423	0x55d00xb78	36
0x3423	0x3672	64
0x3423	0x3470	68
0x3423	0x34b9	68
0x3423	0x55f60xb78	68
0x3423	0x367a	96
0x345b	0x344e	-68
0x345b	0x3455	-64
0x345b	0x345c	-32
0x345b	0x3470	0
0x34a4	0x3497	-68
0x34a4	0x349e	-64
0x34a4	0x34a5	-32
0x34a4	0x34b9	0
0x34d1	0x34e9	0
0x34d1	0x3662	0
0x34d1	0x55c20xb78	0
0x34d1	0x55c90xb78	4
0x34d1	0x3669	32
0x34d1	0x354d	36
0x34d1	0x35dd	36
0x34d1	0x3647	36
0x34d1	0x24780xb78	36
0x34d1	0x55d00xb78	36
0x34d1	0x3672	64
0x34d1	0x55f60xb78	68
0x34d1	0x367a	96
0x3502	0x3662	0
0x3502	0x3669	32
0x3502	0x354d	36
0x3502	0x35dd	36
0x3502	0x3647	36
0x3502	0x3672	64
0x3502	0x367a	96
0x3551	0x3662	0
0x3551	0x3669	32
0x3551	0x354d	36
0x3551	0x35dd	36
0x3551	0x3647	36
0x3551	0x3672	64
0x3551	0x367a	96
0x35e1	0x3662	0
0x35e1	0x3669	32
0x35e1	0x35dd	36
0x35e1	0x3647	36
0x35e1	0x3672	64
0x35e1	0x367a	96
0x364c	0x3662	0
0x364c	0x3669	32
0x364c	0x3647	36
0x364c	0x3672	64
0x364c	0x367a	96
0x3af1	0x6a06	0
0x3af1	0x3b3c	36
0x3af1	0x3ba7	36
0x3b40	0x6a06	0
0x3b40	0x3b3c	36
0x3b40	0x3ba7	36
0x3b5c	0x3ba7	36
0x3bab	0x3ba7	36
0x3de3	0x3dd6	-68
0x3de3	0x3ddd	-64
0x3de3	0x3de4	-32
0x3de3	0x3dfb	0
0x3e48	0x3e3b	-68
0x3e48	0x3e42	-64
0x3e48	0x3e49	-32
0x3e48	0x3e5d	0
0x3fd9	0x6d10	0
0x3fd9	0x4024	36
0x4028	0x6d10	0
0x4028	0x4024	36
0x4249	0x423c	-68
0x4249	0x4243	-64
0x4249	0x424a	-32
0x4249	0x4262	0
0x4361	0x4354	-68
0x4361	0x435b	-64
0x4361	0x4362	-32
0x4361	0x4374	0
0x4cfe	0x4cf1	-68
0x4cfe	0x4cf8	-64
0x4cfe	0x4cff	-32
0x4cfe	0x4d16	0
0x4e30	0x4e23	-68
0x4e30	0x4e2a	-64
0x4e30	0x4e31	-32
0x4e30	0x4e42	0
0x4eb7	0x55c20x1b0f	0
0x4eb7	0x55c90x1b0f	4
0x4eb7	0x4f02	36
0x4eb7	0x4f72	36
0x4eb7	0x4fe7	36
0x4eb7	0x504d	36
0x4eb7	0x55d00x1b0f	36
0x4eb7	0x55f60x1b0f	68
0x4f06	0x55c20x1b0f	0
0x4f06	0x55c90x1b0f	4
0x4f06	0x4f02	36
0x4f06	0x4f72	36
0x4f06	0x4fe7	36
0x4f06	0x504d	36
0x4f06	0x55d00x1b0f	36
0x4f06	0x55f60x1b0f	68
0x4f27	0x4f72	36
0x4f76	0x4f72	36
0x4f9c	0x4fe7	36
0x4f9c	0x504d	36
0x4feb	0x4fe7	36
0x4feb	0x504d	36
0x5051	0x504d	36
0x5096	0x5089	-68
0x5096	0x5090	-64
0x5096	0x5097	-32
0x5096	0x50b2	0
0x5211	0x523c	-32
0x5211	0x525a	0
0x52ce	0x52c1	-68
0x52ce	0x52c8	-64
0x52ce	0x52cf	-32
0x52ce	0x52ed	0
0x5395	0x53ad	0
0x5395	0x736f	0
0x5395	0x55c20x1be3	0
0x5395	0x55c90x1be3	4
0x5395	0x24780x1be3	36
0x5395	0x55d00x1be3	36
0x5395	0x55f60x1be3	68
0x5462	0x5455	-68
0x5462	0x545c	-64
0x5462	0x5463	-32
0x5462	0x5476	0
0x5532	0x5525	-68
0x5532	0x552c	-64
0x5532	0x5533	-32
0x5532	0x554b	0
0x56d6	0x5786	0
0x56d6	0x575b	32
0x56d6	0x5721	36
0x56d6	0x576d	52
0x56d6	0x5773	68
0x56d6	0x5da3	100
0x56d6	0x5d90	132
0x56d6	0x5d99	160
0x5725	0x5786	0
0x5725	0x575b	32
0x5725	0x5721	36
0x5725	0x576d	52
0x5725	0x5773	68
0x5725	0x5da3	100
0x5725	0x5d90	132
0x5725	0x5d99	160
0x57f5	0x57fe	0
0x57f5	0x5805	4
0x57f5	0x580c	36
0x57f5	0x5821	68
0x580b	0x57fe	-68
0x580b	0x5805	-64
0x580b	0x580c	-32
0x580b	0x5821	0
0x5823	0x57fe	0
0x5823	0x5805	4
0x5823	0x580c	36
0x5823	0x5821	68
0x5834	0x587f	36
0x5883	0x587f	36
0x591a	0x590d	-68
0x591a	0x5914	-64
0x591a	0x591b	-32
0x591a	0x5938	0
0x5970	0x5982	-32
0x59b7	0x59aa	-68
0x59b7	0x59b1	-64
0x59b7	0x59b8	-32
0x59b7	0x59cc	0
0x5b03	0x5b57	36
0x5b5d	0x5b57	36
0x5b7e	0x5c62	0
0x5b7e	0x5ca0	0
0x5b7e	0x5ced	0
0x5b7e	0x5c69	4
0x5b7e	0x5cfd	4
0x5b7e	0x5ca7	32
0x5b7e	0x5bd2	36
0x5b7e	0x5c43	36
0x5b7e	0x5c70	36
0x5b7e	0x5d0c	36
0x5b7e	0x5c84	68
0x5b7e	0x5d12	68
0x5bd8	0x5c62	0
0x5bd8	0x5ca0	0
0x5bd8	0x5ced	0
0x5bd8	0x5c69	4
0x5bd8	0x5cfd	4
0x5bd8	0x5ca7	32
0x5bd8	0x5bd2	36
0x5bd8	0x5c43	36
0x5bd8	0x5c70	36
0x5bd8	0x5d0c	36
0x5bd8	0x5c84	68
0x5bd8	0x5d12	68
0x5bef	0x5c43	36
0x5c49	0x5c43	36
0x5c6f	0x5c62	-68
0x5c6f	0x5c69	-64
0x5c6f	0x5c70	-32
0x5c6f	0x5c84	0
0x185a0x58bf	0x58b20x185a	-68
0x185a0x58bf	0x58b90x185a	-64
0x185a0x58bf	0x58c00x185a	-32
0x185a0x58bf	0x58e60x185a	0
0x1a970x58bf	0x58b20x1a97	-68
0x1a970x58bf	0x58b90x1a97	-64
0x1a970x58bf	0x58c00x1a97	-32
0x1a970x58bf	0x58e60x1a97	0
0x449f0x58bf	0x58b20x449f	-68
0x449f0x58bf	0x58b90x449f	-64
0x449f0x58bf	0x58c00x449f	-32
0x449f0x58bf	0x58e60x449f	0
0x185a0x567e	0x56710x185a	-68
0x185a0x567e	0x56780x185a	-64
0x185a0x567e	0x567f0x185a	-32
0x185a0x567e	0x56a50x185a	0
0x1a970x567e	0x56710x1a97	-68
0x1a970x567e	0x56780x1a97	-64
0x1a970x567e	0x567f0x1a97	-32
0x1a970x567e	0x56a50x1a97	0
0x449f0x567e	0x56710x449f	-68
0x449f0x567e	0x56780x449f	-64
0x449f0x567e	0x567f0x449f	-32
0x449f0x567e	0x56a50x449f	0
0x565b0x567e	0x56710x565b	-68
0x565b0x567e	0x56780x565b	-64
0x565b0x567e	0x567f0x565b	-32
0x565b0x567e	0x56a50x565b	0
0x185a0x5638	0x56300x185a	-68
0x185a0x5638	0x563d0x185a	-64
0x185a0x5638	0x56410x185a	-32
0x1a970x5638	0x56300x1a97	-68
0x1a970x5638	0x563d0x1a97	-64
0x1a970x5638	0x56410x1a97	-32
0x449f0x5638	0x56300x449f	-68
0x449f0x5638	0x563d0x449f	-64
0x449f0x5638	0x56410x449f	-32
0x49f20x5638	0x56300x49f2	-68
0x49f20x5638	0x563d0x49f2	-64
0x49f20x5638	0x56410x49f2	-32
0x56020x5638	0x56300x5602	-68
0x56020x5638	0x563d0x5602	-64
0x56020x5638	0x56410x5602	-32
0x6960x55cf	0x55c20x696	-68
0x6960x55cf	0x55c90x696	-64
0x6960x55cf	0x55d00x696	-32
0x6960x55cf	0x55f60x696	0
0x76f0x55cf	0x55c20x76f	-68
0x76f0x55cf	0x55c90x76f	-64
0x76f0x55cf	0x55d00x76f	-32
0x76f0x55cf	0x55f60x76f	0
0xb780x55cf	0x55c20xb78	-68
0xb780x55cf	0x55c90xb78	-64
0xb780x55cf	0x55d00xb78	-32
0xb780x55cf	0x55f60xb78	0
0x185a0x55cf	0x55c20x185a	-68
0x185a0x55cf	0x55c90x185a	-64
0x185a0x55cf	0x55d00x185a	-32
0x185a0x55cf	0x55f60x185a	0
0x1a970x55cf	0x55c20x1a97	-68
0x1a970x55cf	0x55c90x1a97	-64
0x1a970x55cf	0x55d00x1a97	-32
0x1a970x55cf	0x55f60x1a97	0
0x1b0f0x55cf	0x55c20x1b0f	-68
0x1b0f0x55cf	0x55c90x1b0f	-64
0x1b0f0x55cf	0x55d00x1b0f	-32
0x1b0f0x55cf	0x55f60x1b0f	0
0x1be30x55cf	0x55c20x1be3	-68
0x1be30x55cf	0x55c90x1be3	-64
0x1be30x55cf	0x55d00x1be3	-32
0x1be30x55cf	0x55f60x1be3	0
0x449f0x55cf	0x55c20x449f	-68
0x449f0x55cf	0x55c90x449f	-64
0x449f0x55cf	0x55d00x449f	-32
0x449f0x55cf	0x55f60x449f	0
0x185a0x4b54	0x58b20x185a	0
0x185a0x4b54	0x58b90x185a	4
0x185a0x4b54	0x4b500x185a	36
0x185a0x4b54	0x58c00x185a	36
0x185a0x4b54	0x58e60x185a	68
0x449f0x4b54	0x58b20x449f	0
0x449f0x4b54	0x58b90x449f	4
0x449f0x4b54	0x4b500x449f	36
0x449f0x4b54	0x58c00x449f	36
0x449f0x4b54	0x58e60x449f	68
0x185a0x4b05	0x58b20x185a	0
0x185a0x4b05	0x58b90x185a	4
0x185a0x4b05	0x4b500x185a	36
0x185a0x4b05	0x58c00x185a	36
0x185a0x4b05	0x58e60x185a	68
0x1a970x4b05	0x4b500x1a97	36
0x449f0x4b05	0x58b20x449f	0
0x449f0x4b05	0x58b90x449f	4
0x449f0x4b05	0x4b500x449f	36
0x449f0x4b05	0x58c00x449f	36
0x449f0x4b05	0x58e60x449f	68
0x185a0x4acb	0x4ae30x185a	0
0x185a0x4acb	0x55c20x185a	0
0x185a0x4acb	0x58b20x185a	0
0x185a0x4acb	0x55c90x185a	4
0x185a0x4acb	0x58b90x185a	4
0x185a0x4acb	0x24780x185a	36
0x185a0x4acb	0x4b500x185a	36
0x185a0x4acb	0x55d00x185a	36
0x185a0x4acb	0x58c00x185a	36
0x185a0x4acb	0x55f60x185a	68
0x185a0x4acb	0x58e60x185a	68
0x449f0x4acb	0x4ae30x449f	0
0x449f0x4acb	0x55c20x449f	0
0x449f0x4acb	0x58b20x449f	0
0x449f0x4acb	0x55c90x449f	4
0x449f0x4acb	0x58b90x449f	4
0x449f0x4acb	0x24780x449f	36
0x449f0x4acb	0x4b500x449f	36
0x449f0x4acb	0x55d00x449f	36
0x449f0x4acb	0x58c00x449f	36
0x449f0x4acb	0x55f60x449f	68
0x449f0x4acb	0x58e60x449f	68
0x185a0x4a9f	0x4ae30x185a	0
0x185a0x4a9f	0x55c20x185a	0
0x185a0x4a9f	0x58b20x185a	0
0x185a0x4a9f	0x55c90x185a	4
0x185a0x4a9f	0x58b90x185a	4
0x185a0x4a9f	0x24780x185a	36
0x185a0x4a9f	0x4a990x185a	36
0x185a0x4a9f	0x4b500x185a	36
0x185a0x4a9f	0x55d00x185a	36
0x185a0x4a9f	0x58c00x185a	36
0x185a0x4a9f	0x55f60x185a	68
0x185a0x4a9f	0x58e60x185a	68
0x1a970x4a9f	0x4ae30x1a97	0
0x1a970x4a9f	0x24780x1a97	36
0x1a970x4a9f	0x4a990x1a97	36
0x449f0x4a9f	0x4ae30x449f	0
0x449f0x4a9f	0x55c20x449f	0
0x449f0x4a9f	0x58b20x449f	0
0x449f0x4a9f	0x55c90x449f	4
0x449f0x4a9f	0x58b90x449f	4
0x449f0x4a9f	0x24780x449f	36
0x449f0x4a9f	0x4a990x449f	36
0x449f0x4a9f	0x4b500x449f	36
0x449f0x4a9f	0x55d00x449f	36
0x449f0x4a9f	0x58c00x449f	36
0x449f0x4a9f	0x55f60x449f	68
0x449f0x4a9f	0x58e60x449f	68
0x185a0x4a45	0x4ae30x185a	0
0x185a0x4a45	0x55c20x185a	0
0x185a0x4a45	0x58b20x185a	0
0x185a0x4a45	0x55c90x185a	4
0x185a0x4a45	0x58b90x185a	4
0x185a0x4a45	0x24780x185a	36
0x185a0x4a45	0x4a990x185a	36
0x185a0x4a45	0x4b500x185a	36
0x185a0x4a45	0x55d00x185a	36
0x185a0x4a45	0x58c00x185a	36
0x185a0x4a45	0x55f60x185a	68
0x185a0x4a45	0x58e60x185a	68
0x1a970x4a45	0x4ae30x1a97	0
0x1a970x4a45	0x24780x1a97	36
0x1a970x4a45	0x4a990x1a97	36
0x449f0x4a45	0x4ae30x449f	0
0x449f0x4a45	0x55c20x449f	0
0x449f0x4a45	0x58b20x449f	0
0x449f0x4a45	0x55c90x449f	4
0x449f0x4a45	0x58b90x449f	4
0x449f0x4a45	0x24780x449f	36
0x449f0x4a45	0x4a990x449f	36
0x449f0x4a45	0x4b500x449f	36
0x449f0x4a45	0x55d00x449f	36
