0x471	0x2c34	0x491	0x491
0x182e	0x309a	0x184f	0x1757
0x1883	0x2ffc	0x18a1	0x18d0
0x1883	0x2ffc	0x18d0	0x18d0
0x18d0	0x24a3	0x18e6	0x18e6
0x1967	0x1205	0x199e	0x199e
0x199e	0x2614	0x3b80	0x3b80
0x19ba	0x2d99	0x19d7	0x1a05
0x19ba	0x2d99	0x1a05	0x1a05
0x1a05	0x287f	0x3ba5	0x3ba5
0x1a1b	0x302c	0x1a33	0x3bd2
0x1a1b	0x302c	0x3bd2	0x3bd2
0x1a62	0x309a	0x1a78	0x3bf7
0x1a62	0x309a	0x3bf7	0x3bf7
0x1aa7	0x1205	0x1adf	0x1adf
0x1adf	0x29d1	0x3c1b	0x3c1b
0x1b04	0x2ffc	0x1b18	0x3c40
0x1b04	0x2ffc	0x3c40	0x3c40
0x1b65	0x309a	0x1b7f	0x1bae
0x1b65	0x309a	0x1bae	0x1bae
0x1bae	0x29d1	0x3c63	0x3c63
0x1be2	0x309a	0x1bf8	0x3c8a
0x1be2	0x309a	0x3c8a	0x3c8a
0x1c2d	0x2d99	0x1c4b	0x1c7a
0x1c2d	0x2d99	0x1c7a	0x1c7a
0x1c7a	0x26eb	0x3cae	0x3cae
0x1c90	0x20ae	0x1c98	0x1c98
0x1c98	0x17d5	0x1ca9	0x1ca9
0x1cb8	0x2f9b	0x3cde	0x3cde
0x1ce1	0x2f6e	0x3d06	0x3d06
0x1d2f	0x20b2	0x1d3d	0x1d3d
0x1d3d	0x20da	0x1d63	0x1d63
0x1df6	0x309a	0x1e0c	0x3d2e
0x1df6	0x309a	0x3d2e	0x3d2e
0x1e3b	0x309a	0x1e51	0x3d52
0x1e3b	0x309a	0x3d52	0x3d52
0x1e8f	0x20ae	0x1e97	0x1e97
0x1e97	0x17d5	0x1ea8	0x1ea8
0x1eb7	0x2f9b	0x3d76	0x3d76
0x1edd	0x2ef1	0x3d9e	0x3d9e
0x1f50	0x2ffc	0x1f64	0x3dc6
0x1f50	0x2ffc	0x3dc6	0x3dc6
0x1fa2	0x304b	0x1fba	0x3de9
0x1fa2	0x304b	0x3de9	0x3de9
0x200f	0x2c44	0x202d	0x202d
0x2095	0x2fd0	0x3e35	0x3e35
0x20bd	0x2f37	0x3e5d	0x3e5d
0x227e	0x228e	0x3ea7	0x3ea7
0x22a3	0x3192	0x3eed	0x3eed
0x22be	0x3124	0x22d1	0x22d1
0x22be	0x3124	0x3f12	0x22d1
0x22fe	0x3192	0x2308	0x2308
0x2335	0x3124	0x2343	0x2343
0x2335	0x3124	0x3f60	0x2343
0x2393	0x3143	0x23a1	0x23a1
0x2393	0x3143	0x3fae	0x23a1
0x23e1	0x3143	0x23ef	0x23ef
0x23e1	0x3143	0x3fd2	0x23ef
0x2406	0x3166	0x2417	0x2417
0x242f	0x3192	0x3ff6	0x3ff6
0x2455	0x3192	0x2460	0x2460
0x247b	0x22ae	0x2487	0x2487
0x2487	0x31a7	0x401c	0x401c
0x24ba	0x3192	0x24c5	0x24c5
0x24ff	0x3192	0x250a	0x250a
0x250a	0x31a7	0x251a	0x251a
0x2534	0x2383	0x2540	0x2540
0x2585	0x3124	0x2593	0x2593
0x2585	0x3124	0x4046	0x2593
0x25bf	0x30fe	0x25c8	0x25c8
0x25df	0x23d1	0x25ed	0x25ed
0x263a	0x2325	0x406a	0x406a
0x267d	0x3124	0x268b	0x268b
0x267d	0x3124	0x4091	0x268b
0x26cd	0x22a3	0x26dd	0x26dd
0x2716	0x2325	0x2722	0x2722
0x2737	0x2325	0x2743	0x2743
0x2758	0x2325	0x2764	0x2764
0x2779	0x2325	0x2786	0x2786
0x27c0	0x2325	0x27cc	0x27cc
0x27e1	0x2325	0x27ed	0x27ed
0x2802	0x2325	0x280e	0x280e
0x2823	0x2325	0x282f	0x282f
0x2844	0x2325	0x2850	0x2850
0x2865	0x22ae	0x2872	0x2872
0x28a9	0x2325	0x28b5	0x28b5
0x28ca	0x2325	0x28d7	0x28d7
0x290e	0x2383	0x40b5	0x40b5
0x2940	0x23d1	0x40dc	0x40dc
0x2964	0x3192	0x296f	0x296f
0x296f	0x3192	0x297f	0x297f
0x297f	0x3192	0x298f	0x298f
0x298f	0x3192	0x299f	0x299f
0x29fb	0x3192	0x4103	0x4103
0x2a2a	0x31a7	0x412d	0x412d
0x2a50	0x3192	0x2a62	0x2a62
0x2a62	0x3192	0x4157	0x4157
0x2c08	0x3166	0x2c20	0x2c20
0x2c44	0x3166	0x2c56	0x2c56
0x2c8e	0x2b96	0x2cb2	0x2cb2
0x2d42	0x2c08	0x2d65	0x2d65
0x2d86	0x2bd9	0x41d5	0x41d5
0x2d99	0x2bd9	0x2dac	0x2dac
0x2dc3	0x2bd9	0x2dd6	0x2dd6
0x2dd6	0x2bd9	0x2de8	0x2de8
0x2de8	0x2bd9	0x2dfc	0x2dfc
0x2dfc	0x2bd9	0x2e10	0x2e10
0x2e1b	0x2bd9	0x2e2e	0x2e2e
0x2e2e	0x2bd9	0x2e40	0x2e40
0x2e40	0x2bd9	0x2e54	0x2e54
0x2e54	0x2bd9	0x2e68	0x2e68
0x2e68	0x2bd9	0x2e7c	0x2e7c
0x2e7c	0x2b96	0x2e90	0x2e90
0x2e9d	0x2bd9	0x2eb0	0x2eb0
0x2eb0	0x2bd9	0x2ec2	0x2ec2
0x2ede	0x2c08	0x41fb	0x41fb
0x3081	0x2c08	0x4221	0x4221
