0x1a	0xec
0x278b0x2eb1	0x2ec40x278b
0x2ba70x2eb1	0x2ec40x2ba7
0x11490x2e78	0x2eff0x1149
0x278b0x2e78	0x2eff0x278b
0x6000x2c07	0x3c430x600
0x6000x2bed	0x2c040x600
0x6000x2b77	0x29e30x600
0x6000x2b53	0x2b580x600
0x6000x2b45	0x2b700x600
0x6000x2b3b	0x2f4e0x600
0x6000x2b1c	0x2b210x600
0x6000x2b12	0x2b3f0x600
0x6000x2b0c	0x2b720x600
0x6000x2afe	0x2b060x600
0x6000x2ae3	0x2af00x600
0x6000x2ad4	0x2adc0x600
0x6000x2a81	0x2b0a0x600
0x6000x2a74	0x2a7c0x600
0x6000x2a59	0x2a660x600
0x6000x2a4a	0x2a520x600
0x6000x29f7	0x29fc0x600
0x6000x29ea	0x3bf60x600
0x6000x29cd	0x29d70x600
0x11490x27c9	0x2e730x1149
0x11490x278e	0x3b860x1149
0x11490x274a	0x3b600x1149
0x272b0x274a	0x3b600x272b
0x11490x2742	0x27470x1149
0x272b0x2742	0x27470x272b
0x11490x2736	0x14680x1149
0x272b0x2736	0x14680x272b
0x11490x272f	0x273a0x1149
0x11490x21bd	0x216e0x1149
0x11490x21a9	0x21ae0x1149
0x11490x21a0	0x272b0x1149
0x11490x2187	0x218c0x1149
0x11490x2175	0x21c10x1149
0x11490x215a	0x21690x1149
0x11490x2152	0x20b80x1149
0x11490x2145	0x272b0x1149
0x11490x2139	0x14120x1149
0x11490x2120	0x21250x1149
0x11490x2109	0x210e0x1149
0x11490x20e7	0x20f50x1149
0x11490x20cb	0x20d00x1149
0x11490x20bf	0x21560x1149
0x4080x1c75	0x1c920x408
0x11490x1c75	0x1c920x1149
0x4080x1c61	0x1c4d0x408
0x11490x1c61	0x1c4d0x1149
0x4080x1c52	0x1c650x408
0x11490x1c52	0x1c650x1149
0x4080x1c30	0x1c380x408
0x11490x1c30	0x1c380x1149
0x4080x1c16	0x1c1e0x408
0x11490x1c16	0x1c1e0x1149
0x4080x1c01	0x1c090x408
0x11490x1c01	0x1c090x1149
0x4080x1be1	0x1be90x408
0x11490x1be1	0x1be90x1149
0x4080x1bb3	0x1bc00x408
0x11490x1bb3	0x1bc00x1149
0x4080x1ba4	0x1bac0x408
0x11490x1ba4	0x1bac0x1149
0x6000x1b26	0x1b2f0x600
0x6000x1b22	0x1b310x600
0x6000x1b0d	0x1b200x600
0x6000x1af4	0x1b010x600
0x6000x1ae5	0x1aed0x600
0x6000x1a95	0x17df0x600
0x6000x1a47	0x1a8d0x600
0x6000x1a3d	0x1a450x600
0x6000x1a22	0x1a2f0x600
0x6000x1a13	0x1a1b0x600
0x6000x19a6	0x19ab0x600
0x6000x197c	0x19810x600
0x6000x195c	0x1a4e0x600
0x6000x194a	0x29dc0x600
0x6000x193c	0x19410x600
0x6000x1912	0x19170x600
0x6000x1908	0x194e0x600
0x6000x1901	0x1a8f0x600
0x6000x18fe	0x29850x600
0x6000x18da	0x18df0x600
0x6000x18d0	0x19000x600
0x6000x18cc	0x19050x600
0x6000x18c0	0x18c80x600
0x6000x18a5	0x18b20x600
0x6000x1896	0x189e0x600
0x6000x183b	0x18400x600
0x6000x1814	0x18190x600
0x6000x1806	0x1a910x600
0x6000x1802	0x180a0x600
0x6000x17f0	0x17f50x600
0x6000x17e6	0x1a990x600
0x6000x177f	0x17cf0x600
0x2260x1745	0x39980x226
0x11490x1745	0x39980x1149
0x2260x1484	0x14930x226
0x11490x1484	0x14930x1149
0x2260x1472	0x14810x226
0x11490x1472	0x14810x1149
0x2260x144a	0x14620x226
0x11490x144a	0x14620x1149
0x14120x144a	0x14620x1412
0x2260x1446	0x14650x226
0x11490x1446	0x14650x1149
0x14120x1446	0x14650x1412
0x2260x1439	0x14650x226
0x11490x1439	0x14650x1149
0x14120x1439	0x14650x1412
0x2260x1420	0x14360x226
0x11490x1420	0x14360x1149
0x14120x1420	0x14360x1412
0x2260x141c	0x143d0x226
0x11490x141c	0x143d0x1149
0x2260x13d8	0xef60x226
0x11490x13d8	0xef60x1149
0x13580x13d8	0xef60x1358
0x2c1e0x13d8	0xef60x2c1e
0x2d090x13d8	0xef60x2d09
0x305e0x13d8	0xef60x305e
0x2260x13cd	0x13d70x226
0x11490x13cd	0x13d70x1149
0x13580x13cd	0x13d70x1358
0x2c1e0x13cd	0x13d70x2c1e
0x2d090x13cd	0x13d70x2d09
0x305e0x13cd	0x13d70x305e
0x2260x13b6	0x13be0x226
0x11490x13b6	0x13be0x1149
0x13580x13b6	0x13be0x1358
0x2c1e0x13b6	0x13be0x2c1e
0x2d090x13b6	0x13be0x2d09
0x305e0x13b6	0x13be0x305e
0x2260x139b	0x13a80x226
0x11490x139b	0x13a80x1149
0x13580x139b	0x13a80x1358
0x2c1e0x139b	0x13a80x2c1e
0x2d090x139b	0x13a80x2d09
0x305e0x139b	0x13a80x305e
0x2260x138c	0x13940x226
0x11490x138c	0x13940x1149
0x2c1e0x138c	0x13940x2c1e
0x2d090x138c	0x13940x2d09
0x305e0x138c	0x13940x305e
0x11490x134d	0x118f0x1149
0x11490x1336	0x133b0x1149
0x11490x132b	0x12160x1149
0x11490x131c	0x122e0x1149
0x11490x12cb	0x13480x1149
0x11490x12b9	0x12be0x1149
0x11490x12b0	0x14120x1149
0x11490x129c	0x12a40x1149
0x11490x1281	0x128e0x1149
0x11490x1272	0x127a0x1149
0x11490x123e	0x125b0x1149
0x11490x122a	0x12160x1149
0x11490x121b	0x122e0x1149
0x11490x11ca	0x12cf0x1149
0x11490x11c1	0x1b700x1149
0x11490x11a6	0x11ab0x1149
0x11490x119c	0x11c50x1149
0x11490x1196	0x39260x1149
0x2260x9b6	0x380e0x226
0x4080x9b6	0x380e0x408
0x11490x9b6	0x380e0x1149
0x2260x9b2	0x37e60x226
0x4080x9b2	0x37e60x408
0x11490x9b2	0x37e60x1149
0x2260x960	0x96d0x226
0x4080x960	0x96d0x408
0x11490x960	0x96d0x1149
0x2260x951	0x9590x226
0x11490x951	0x9590x1149
0x2260x901	0x8a20x226
0x11490x901	0x8a20x1149
0x2260x8fa	0x16f50x226
0x11490x8fa	0x16f50x1149
0x2260x8d6	0x8db0x226
0x11490x8d6	0x8db0x1149
0x2260x8cb	0x8fc0x226
0x11490x8cb	0x8fc0x1149
0x2260x8b3	0x8b80x226
0x11490x8b3	0x8b80x1149
0x2260x8a7	0x9050x226
0x11490x8a7	0x9050x1149
0x2260x894	0x89d0x226
0x11490x894	0x89d0x1149
0x2260x890	0x89f0x226
0x11490x890	0x89f0x1149
0x2260x87b	0x88e0x226
0x11490x87b	0x88e0x1149
0x2260x86d	0x7250x226
0x11490x86d	0x7250x1149
0x2260x864	0x7320x226
0x11490x864	0x7320x1149
0x2260x857	0x146e0x226
0x11490x857	0x146e0x1149
0x2260x83e	0x8430x226
0x11490x83e	0x8430x1149
0x2260x830	0x8590x226
0x11490x830	0x8590x1149
0x2260x829	0x14120x226
0x11490x829	0x14120x1149
0x2260x811	0x8160x226
0x11490x811	0x8160x1149
0x2260x804	0x82b0x226
0x2260x7f5	0x8030x226
0x11490x7f5	0x8030x1149
0x2260x7d9	0x7de0x226
0x11490x7d9	0x7de0x1149
0x2260x7ca	0x13580x226
0x11490x7ca	0x13580x1149
0x2c1e0x7ca	0x13580x2c1e
0x2d090x7ca	0x13580x2d09
0x305e0x7ca	0x13580x305e
0x2260x7af	0x7b40x226
0x11490x7af	0x7b40x1149
0x2260x7a5	0x7ce0x226
0x11490x7a5	0x7ce0x1149
0x2260x79f	0x8600x226
0x11490x79f	0x8600x1149
0x2260x790	0x7950x226
0x11490x790	0x7950x1149
0x2260x784	0x8600x226
0x11490x784	0x8600x1149
0x2260x763	0x7680x226
0x11490x763	0x7680x1149
0x2260x742	0x7470x226
0x11490x742	0x7470x1149
0x2260x737	0x8680x226
0x11490x737	0x8680x1149
0x2260x72c	0x8710x226
0x11490x72c	0x8710x1149
0x3790x3c6	0x3b20x379
0x4c80x3c6	0x3b20x4c8
0x3790x3b7	0x3ca0x379
0x4c80x3b7	0x3ca0x4c8
0xa16V0x385	0xa48B0x385
0xa44V0x385	0xa2aB0x385
0x1d710x1e01V0xeeb	0x1e060x1d71B0xeeb
0x1db4V0xeeb	0x1dbc0x1d71B0xeeb
0x1d710x1dc3V0xeeb	0x1dd00x1d71B0xeeb
0x1d710x1ddeV0xeeb	0x1de60x1d71B0xeeb
0x1d710x1df4V0xeeb	0x39df0x1d71B0xeeb
0x1d710x1e54V0xeeb	0x1e5c0x1d71B0xeeb
0x1d710x1e63V0xeeb	0x1e700x1d71B0xeeb
0x1d710x1e7eV0xeeb	0x1e860x1d71B0xeeb
0x1d710x1e8aV0xeeb	0x1f150x1d71B0xeeb
0x1d710x1edbV0xeeb	0x1ee30x1d71B0xeeb
0x1d710x1eeaV0xeeb	0x1ef70x1d71B0xeeb
0x1d710x1f05V0xeeb	0x1f0d0x1d71B0xeeb
0x1d710x1f1aV0xeeb	0x1ded0x1d71B0xeeb
0xf5cV0x585	0xf9eB0x585
0xf9fV0x585	0x38bdB0x585
0x1472V0xdb6	0x14810x146eB0xdb6
0x146e0x1484V0xdb6	0x14930x146eB0xdb6
0x2716V0x15e5	0x271dB0x15e5
0x271eV0x15e5	0x2725B0x15e5
0x28ccV0x16f50x226	0x28d5B0x16f50x226
0x27ceV0x16f50x226	0x27dfB0x16f50x226
0x27e0V0x16f50x226	0x2830B0x16f50x226
0x28abV0x16f50x226	0x28d0B0x16f50x226
0x2854V0x16f50x226	0x286eB0x16f50x226
0x28dcV0x16f50x226	0x292cB0x16f50x226
0x2930V0x16f50x226	0x3bacB0x16f50x226
0x294bV0x16f50x226	0x3bd1B0x16f50x226
0x286aV0x16f50x226	0x284fB0x16f50x226
0x2940V0x16f50x226	0x2948B0x16f50x226
0x28ccV0x16f50x1149	0x28d5B0x16f50x1149
0x27ceV0x16f50x1149	0x27dfB0x16f50x1149
0x27e0V0x16f50x1149	0x2830B0x16f50x1149
0x28abV0x16f50x1149	0x28d0B0x16f50x1149
0x2854V0x16f50x1149	0x286eB0x16f50x1149
0x28dcV0x16f50x1149	0x292cB0x16f50x1149
0x2930V0x16f50x1149	0x3bacB0x16f50x1149
0x294bV0x16f50x1149	0x3bd1B0x16f50x1149
0x286aV0x16f50x1149	0x284fB0x16f50x1149
0x2940V0x16f50x1149	0x2948B0x16f50x1149
0x2bedV0x21560x1149	0x2c040x2be9B0x21560x1149
0x2be90x2c07V0x21560x1149	0x3c430x2be9B0x21560x1149
0x28ccV0x29850x600	0x28d5B0x29850x600
0x27ceV0x29850x600	0x27dfB0x29850x600
0x27e0V0x29850x600	0x2830B0x29850x600
0x28abV0x29850x600	0x28d0B0x29850x600
0x2854V0x29850x600	0x286eB0x29850x600
0x28dcV0x29850x600	0x292cB0x29850x600
0x2930V0x29850x600	0x3bacB0x29850x600
0x294bV0x29850x600	0x3bd1B0x29850x600
0x286aV0x29850x600	0x284fB0x29850x600
0x2940V0x29850x600	0x2948B0x29850x600
0x31eaV0x2fe00x600	0x3d71B0x2fe00x600
0x9cfV0x32a	0x3836B0x32a
0x1fd6V0xefe	0x1ffcB0xefe
0x1fdcV0xefe	0x3a05B0xefe
0x2022V0xefe	0x204bB0xefe
0x202cV0xefe	0x2031B0xefe
0x1f1e0x2187V0xefe	0x218c0x1f1eB0xefe
0x1f1e0x144aV0xefe	0x14620x1f1eB0xefe
0x1f1e0x1420V0xefe	0x14360x1f1eB0xefe
0x1f1e0x20cbV0xefe	0x20d00x1f1eB0xefe
0x1f1e0x1e01V0xefe	0x1e060x1f1eB0xefe
0x1f23V0xefe	0x1f2aB0xefe
0x1f53V0xefe	0x1f66B0xefe
0x1f82V0xefe	0x1f95B0xefe
0x1fb4V0xefe	0x1fc7B0xefe
0x1fd0V0xefe	0x2012B0xefe
0x1fffV0xefe	0x200eB0xefe
0x2050V0xefe	0x205fB0xefe
0x205aV0xefe	0x7b40x1f1eB0xefe
0x2047V0xefe	0x1d710x1f1eB0xefe
0x2069V0xefe	0x206eB0xefe
0x2082V0xefe	0x2087B0xefe
0x2093V0xefe	0x20a6B0xefe
0x20b0V0xefe	0x2015B0xefe
0x201cV0xefe	0x20b4B0xefe
0x1f1e0x215aV0xefe	0x21690x1f1eB0xefe
0x1f1e0x3a65V0xefe	0x278b0x1f1eB0xefe
0x1f1e0x3a3aV0xefe	0x278b0x1f1eB0xefe
0x1f1e0x2f06V0xefe	0x2f0b0x1f1eB0xefe
0x1f1e0x2ed4V0xefe	0x2ef10x1f1eB0xefe
0x1f1e0x2ec0V0xefe	0x2eac0x1f1eB0xefe
0x1f1e0x2eb1V0xefe	0x2ec40x1f1eB0xefe
0x1f1e0x2e78V0xefe	0x2eff0x1f1eB0xefe
0x1f1e0x27c9V0xefe	0x2e730x1f1eB0xefe
0x1f1e0x278eV0xefe	0x3b860x1f1eB0xefe
0x1f1e0x274aV0xefe	0x3b600x1f1eB0xefe
0x1f1e0x2742V0xefe	0x27470x1f1eB0xefe
0x1f1e0x2736V0xefe	0x14680x1f1eB0xefe
0x1f1e0x272fV0xefe	0x273a0x1f1eB0xefe
0x1f1e0x21bdV0xefe	0x216e0x1f1eB0xefe
0x1f1e0x21a9V0xefe	0x21ae0x1f1eB0xefe
0x1f1e0x21a0V0xefe	0x272b0x1f1eB0xefe
0x1f1e0x2175V0xefe	0x21c10x1f1eB0xefe
0x1f1e0x2152V0xefe	0x20b80x1f1eB0xefe
0x1f1e0x2145V0xefe	0x272b0x1f1eB0xefe
0x1f1e0x2139V0xefe	0x14120x1f1eB0xefe
0x1f1e0x2120V0xefe	0x21250x1f1eB0xefe
0x1f1e0x2109V0xefe	0x210e0x1f1eB0xefe
0x1f1e0x20e7V0xefe	0x20f50x1f1eB0xefe
0x1f1e0x20bfV0xefe	0x21560x1f1eB0xefe
0x1f1e0x1f1aV0xefe	0x1ded0x1f1eB0xefe
0x1f1e0x1f05V0xefe	0x1f0d0x1f1eB0xefe
0x1f1e0x1eeaV0xefe	0x1ef70x1f1eB0xefe
0x1f1e0x1edbV0xefe	0x1ee30x1f1eB0xefe
0x1f1e0x1e8aV0xefe	0x1f150x1f1eB0xefe
0x1f1e0x1e7eV0xefe	0x1e860x1f1eB0xefe
0x1f1e0x1e63V0xefe	0x1e700x1f1eB0xefe
0x1f1e0x1e54V0xefe	0x1e5c0x1f1eB0xefe
0x1f1e0x1df4V0xefe	0x39df0x1f1eB0xefe
0x1f1e0x1ddeV0xefe	0x1de60x1f1eB0xefe
0x1f1e0x1dc3V0xefe	0x1dd00x1f1eB0xefe
0x1f1e0x1db4V0xefe	0x1dbc0x1f1eB0xefe
0x1f1e0x1446V0xefe	0x14650x1f1eB0xefe
0x1f1e0x1439V0xefe	0x14650x1f1eB0xefe
0x1f1e0x141cV0xefe	0x143d0x1f1eB0xefe
0x1f1e0x13d8V0xefe	0xef60x1f1eB0xefe
0x1f1e0x13cdV0xefe	0x13d70x1f1eB0xefe
0x1f1e0x13b6V0xefe	0x13be0x1f1eB0xefe
0x1f1e0x139bV0xefe	0x13a80x1f1eB0xefe
0x1f1e0x138cV0xefe	0x13940x1f1eB0xefe
0x1f1e0x7caV0xefe	0x13580x1f1eB0xefe
0x2bedV0x21560x1f1eV0xefe	0x2c040x2be9B0x21560x1f1eB0xefe
0x2be90x2c07V0x21560x1f1eV0xefe	0x3c430x2be9B0x21560x1f1eB0xefe
0xfbeV0x5af	0xfc5B0x5af
0xfbeV0xfde	0xfc5B0xfde
0x108dV0x5f7	0x38e0B0x5f7
0x2716V0x108aV0x5f7	0x271dB0x108aB0x5f7
0x271eV0x108aV0x5f7	0x2725B0x108aB0x5f7
0xfbeV0x10cc	0xfc5B0x10cc
0x1745V0xdf7	0x39980x16f5B0xdf7
0x28ccV0x16f5V0xdf7	0x28d5B0x16f5B0xdf7
0x27ceV0x16f5V0xdf7	0x27dfB0x16f5B0xdf7
0x27e0V0x16f5V0xdf7	0x2830B0x16f5B0xdf7
0x28abV0x16f5V0xdf7	0x28d0B0x16f5B0xdf7
0x2854V0x16f5V0xdf7	0x286eB0x16f5B0xdf7
0x28dcV0x16f5V0xdf7	0x292cB0x16f5B0xdf7
0x2930V0x16f5V0xdf7	0x3bacB0x16f5B0xdf7
0x294bV0x16f5V0xdf7	0x3bd1B0x16f5B0xdf7
0x286aV0x16f5V0xdf7	0x284fB0x16f5B0xdf7
0x2940V0x16f5V0xdf7	0x2948B0x16f5B0xdf7
0x1fd6V0x17cf0x600	0x1ffcB0x17cf0x600
0x1fdcV0x17cf0x600	0x3a05B0x17cf0x600
0x2022V0x17cf0x600	0x204bB0x17cf0x600
0x202cV0x17cf0x600	0x2031B0x17cf0x600
0x1f1e0x2187V0x17cf0x600	0x218c0x1f1eB0x17cf0x600
0x1f1e0x144aV0x17cf0x600	0x14620x1f1eB0x17cf0x600
0x1f1e0x1420V0x17cf0x600	0x14360x1f1eB0x17cf0x600
0x1f1e0x20cbV0x17cf0x600	0x20d00x1f1eB0x17cf0x600
0x1f1e0x1e01V0x17cf0x600	0x1e060x1f1eB0x17cf0x600
0x1f23V0x17cf0x600	0x1f2aB0x17cf0x600
0x1f53V0x17cf0x600	0x1f66B0x17cf0x600
0x1f82V0x17cf0x600	0x1f95B0x17cf0x600
0x1fb4V0x17cf0x600	0x1fc7B0x17cf0x600
0x1fd0V0x17cf0x600	0x2012B0x17cf0x600
0x1fffV0x17cf0x600	0x200eB0x17cf0x600
0x2050V0x17cf0x600	0x205fB0x17cf0x600
0x205aV0x17cf0x600	0x7b40x1f1eB0x17cf0x600
0x2047V0x17cf0x600	0x1d710x1f1eB0x17cf0x600
0x2069V0x17cf0x600	0x206eB0x17cf0x600
0x2082V0x17cf0x600	0x2087B0x17cf0x600
0x2093V0x17cf0x600	0x20a6B0x17cf0x600
0x20b0V0x17cf0x600	0x2015B0x17cf0x600
0x201cV0x17cf0x600	0x20b4B0x17cf0x600
0x1f1e0x215aV0x17cf0x600	0x21690x1f1eB0x17cf0x600
0x1f1e0x3a65V0x17cf0x600	0x278b0x1f1eB0x17cf0x600
0x1f1e0x3a3aV0x17cf0x600	0x278b0x1f1eB0x17cf0x600
0x1f1e0x2f06V0x17cf0x600	0x2f0b0x1f1eB0x17cf0x600
0x1f1e0x2ed4V0x17cf0x600	0x2ef10x1f1eB0x17cf0x600
0x1f1e0x2ec0V0x17cf0x600	0x2eac0x1f1eB0x17cf0x600
0x1f1e0x2eb1V0x17cf0x600	0x2ec40x1f1eB0x17cf0x600
0x1f1e0x2e78V0x17cf0x600	0x2eff0x1f1eB0x17cf0x600
0x1f1e0x27c9V0x17cf0x600	0x2e730x1f1eB0x17cf0x600
0x1f1e0x278eV0x17cf0x600	0x3b860x1f1eB0x17cf0x600
0x1f1e0x274aV0x17cf0x600	0x3b600x1f1eB0x17cf0x600
0x1f1e0x2742V0x17cf0x600	0x27470x1f1eB0x17cf0x600
0x1f1e0x2736V0x17cf0x600	0x14680x1f1eB0x17cf0x600
0x1f1e0x272fV0x17cf0x600	0x273a0x1f1eB0x17cf0x600
0x1f1e0x21bdV0x17cf0x600	0x216e0x1f1eB0x17cf0x600
0x1f1e0x21a9V0x17cf0x600	0x21ae0x1f1eB0x17cf0x600
0x1f1e0x21a0V0x17cf0x600	0x272b0x1f1eB0x17cf0x600
0x1f1e0x2175V0x17cf0x600	0x21c10x1f1eB0x17cf0x600
0x1f1e0x2152V0x17cf0x600	0x20b80x1f1eB0x17cf0x600
0x1f1e0x2145V0x17cf0x600	0x272b0x1f1eB0x17cf0x600
0x1f1e0x2139V0x17cf0x600	0x14120x1f1eB0x17cf0x600
0x1f1e0x2120V0x17cf0x600	0x21250x1f1eB0x17cf0x600
0x1f1e0x2109V0x17cf0x600	0x210e0x1f1eB0x17cf0x600
0x1f1e0x20e7V0x17cf0x600	0x20f50x1f1eB0x17cf0x600
0x1f1e0x20bfV0x17cf0x600	0x21560x1f1eB0x17cf0x600
0x1f1e0x1f1aV0x17cf0x600	0x1ded0x1f1eB0x17cf0x600
0x1f1e0x1f05V0x17cf0x600	0x1f0d0x1f1eB0x17cf0x600
0x1f1e0x1eeaV0x17cf0x600	0x1ef70x1f1eB0x17cf0x600
0x1f1e0x1edbV0x17cf0x600	0x1ee30x1f1eB0x17cf0x600
0x1f1e0x1e8aV0x17cf0x600	0x1f150x1f1eB0x17cf0x600
0x1f1e0x1e7eV0x17cf0x600	0x1e860x1f1eB0x17cf0x600
0x1f1e0x1e63V0x17cf0x600	0x1e700x1f1eB0x17cf0x600
0x1f1e0x1e54V0x17cf0x600	0x1e5c0x1f1eB0x17cf0x600
0x1f1e0x1df4V0x17cf0x600	0x39df0x1f1eB0x17cf0x600
0x1f1e0x1ddeV0x17cf0x600	0x1de60x1f1eB0x17cf0x600
0x1f1e0x1dc3V0x17cf0x600	0x1dd00x1f1eB0x17cf0x600
0x1f1e0x1db4V0x17cf0x600	0x1dbc0x1f1eB0x17cf0x600
0x1f1e0x1446V0x17cf0x600	0x14650x1f1eB0x17cf0x600
0x1f1e0x1439V0x17cf0x600	0x14650x1f1eB0x17cf0x600
0x1f1e0x141cV0x17cf0x600	0x143d0x1f1eB0x17cf0x600
