0x60	0x46db
0x276b	0x2773
0x277a	0x2787
0x2795	0x279d
0x27e1	0x27e9
0x27f0	0x27fd
0x280b	0x2813
0x2816	0x285a
0x2896	0x289e
0x28a5	0x28b2
0x28c0	0x28c8
0x290c	0x2914
0x291b	0x2928
0x2936	0x293e
0x2941	0x298c
0x299b	0x29de
0x29e5	0x2a23
0x2a6a	0x2a72
0x2a79	0x2a86
0x2a94	0x2a9c
0x2ae1	0x2ae9
0x2af0	0x2afd
0x2b49	0x2b51
0x2b58	0x2b65
0x2b73	0x2b7b
0x2bce	0x2bd6
0x2bdd	0x2bea
0x2bf8	0x2c00
0x2c42	0x2c4a
0x2c51	0x2c5e
0x2c6c	0x2c74
0x2cc8	0x2cd0
0x2cd7	0x2ce4
0x2d59	0x2e91
0x2da2	0x2daa
0x2db1	0x2dbe
0x2dcc	0x2dd4
0x2e18	0x2e20
0x2e27	0x2e34
0x2e42	0x2e4a
0x2e4d	0x2e91
0x2ea0	0x2fd8
0x2ee9	0x2ef1
0x2ef8	0x2f05
0x2f13	0x2f1b
0x2f5f	0x2f67
0x2f6e	0x2f7b
0x2f89	0x2f91
0x2f94	0x2fd8
0x2fe7	0x302a
0x3031	0x306f
0x30b6	0x30be
0x30c5	0x30d2
0x30e0	0x30e8
0x3130	0x3138
0x313f	0x314c
0x31a0	0x31a8
0x31af	0x31bc
0x3210	0x3218
0x321f	0x322c
0x3280	0x3288
0x328f	0x329c
0x32f0	0x32f8
0x32ff	0x330c
0x3360	0x3368
0x336f	0x337c
0x33c9	0x33d1
0x33d8	0x33e5
0x33f3	0x33fb
0x3453	0x345b
0x3462	0x346f
0x347d	0x3485
0x34e6	0x34ee
0x34f5	0x3502
0x359f	0x36d7
0x35e8	0x35f0
0x35f7	0x3604
0x3612	0x361a
0x365e	0x3666
0x366d	0x367a
0x3688	0x3690
0x3693	0x36d7
0x36e6	0x3729
0x3730	0x376e
0x377a	0x37bb
0x37f8	0x3800
0x3807	0x3814
0x3822	0x382a
0x387d	0x3885
0x388c	0x3899
0x38a7	0x38af
0x3919	0x3921
0x3928	0x3935
0x39a1	0x3ad9
0x39ea	0x39f2
0x39f9	0x3a06
0x3a14	0x3a1c
0x3a60	0x3a68
0x3a6f	0x3a7c
0x3a8a	0x3a92
0x3a95	0x3ad9
0x3ae8	0x3b2b
0x3b32	0x3b70
0x3bb7	0x3bbf
0x3bc6	0x3bd3
0x3be1	0x3be9
0x3c33	0x3c3b
0x3c42	0x3c4f
0x3c5d	0x3c65
0x3c69	0x3ca3
0x3ce9	0x3cf1
0x3cf8	0x3d05
0x3d13	0x3d1b
0x3d60	0x3d68
0x3d6f	0x3d7c
0x3dc8	0x3dd0
0x3dd7	0x3de4
0x3df2	0x3dfa
0x3e44	0x3e4c
0x3e53	0x3e60
0x3e6e	0x3e76
0x3ebb	0x3ec3
0x3eca	0x3ed7
0x3ee5	0x3eed
0x3f40	0x3f48
0x3f4f	0x3f5c
0x3f6a	0x3f72
0x3f79	0x4001
0x3fe0	0x3fe8
0x3fef	0x3ffc
0x405b	0x40dd
0x40a7	0x40af
0x40b6	0x40c3
0x40d1	0x40d9
0x40de	0x4118
0x4160	0x4b90
0x41fb	0x4bb4
0x4c03	0x4cac
0x4c05	0x4c76
0x4c07	0x4c79
0x4c09	0x4c7c
0x4c0b	0x4c76
0x4c0d	0x4c6d
0x4c0f	0x4c70
0x4c11	0x4c73
0x4c13	0x4c5b
0x4c15	0x4c5e
0x4c17	0x4c61
0x4c19	0x4c64
0x4c1b	0x4c67
0x4c1d	0x4c6a
0x4c1f	0x4c49
0x4c21	0x4c4c
0x4c23	0x4c4f
0x4c25	0x4c52
0x4c27	0x4c55
0x4c29	0x4c58
0x4c2b	0x4c37
0x4c2d	0x4c3a
0x4c2f	0x4c3d
0x4c31	0x4c40
0x4c33	0x4c43
0x4c35	0x4c46
0x1680x82e	0x4add0x168
0x3050x82e	0x4add0x305
0x1680x813	0x82d0x168
0x3050x813	0x82d0x305
0x1680x7c9	0x8120x168
0x3050x7c9	0x8120x305
0x1680x7b2	0x7ba0x168
0x3050x7b2	0x7ba0x305
0x1680x797	0x7a40x168
0x3050x797	0x7a40x305
0x1680x788	0x7900x168
0x3050x788	0x7900x305
0x1680x73c	0x7440x168
0x3050x73c	0x7440x305
0x1680x721	0x72e0x168
0x3050x721	0x72e0x305
0x1680x712	0x71a0x168
0x3050x712	0x71a0x305
0x416dV0xbb6	0x41acB0xbb6
0x41a8V0xbb6	0x4401B0xbb6
0x4409V0xbb6	0x4490B0xbb6
0x4465V0xbb6	0x4482B0xbb6
0x4442V0xbb6	0x4455B0xbb6
0x4451V0xbb6	0x443dB0xbb6
0xd09V0x1d3	0xd11B0x1d3
0xd18V0x1d3	0xd25B0x1d3
0xd33V0x1d3	0xd3bB0x1d3
0xd49V0x1d3	0xd83B0x1d3
0xd91V0x1d3	0xdd8B0x1d3
0xe45V0x1d3	0xe4d0xcc3B0x1d3
0xcc30xe54V0x1d3	0xe610xcc3B0x1d3
0xcc30xe6fV0x1d3	0xe770xcc3B0x1d3
0x25a4V0x584	0x25acB0x584
0x25b3V0x584	0x25c0B0x584
0x25ceV0x584	0x25d6B0x584
0x25e4V0x584	0x261eB0x584
0x262dV0x584	0x2670B0x584
0x26e4V0x584	0xe4d0x255eB0x584
0x255e0xe54V0x584	0xe610x255eB0x584
0x255e0xe6fV0x584	0xe770x255eB0x584
0x4348V0x41b3	0x4351B0x41b3
0x424aV0x41b3	0x425bB0x41b3
0x425cV0x41b3	0x42acB0x41b3
0x4327V0x41b3	0x434cB0x41b3
0x42d0V0x41b3	0x42eaB0x41b3
0x4358V0x41b3	0x43a8B0x41b3
0x43acV0x41b3	0x4bd8B0x41b3
0x43c7V0x41b3	0x4bfdB0x41b3
0x42e6V0x41b3	0x42cbB0x41b3
0x43bcV0x41b3	0x43c4B0x41b3
0x44c4V0x4249V0x41b3	0x44ccB0x4249B0x41b3
0x4348V0x4118	0x4351B0x4118
0x424aV0x4118	0x425bB0x4118
0x425cV0x4118	0x42acB0x4118
0x4327V0x4118	0x434cB0x4118
0x42d0V0x4118	0x42eaB0x4118
0x4358V0x4118	0x43a8B0x4118
0x43acV0x4118	0x4bd8B0x4118
0x43c7V0x4118	0x4bfdB0x4118
0x42e6V0x4118	0x42cbB0x4118
0x43bcV0x4118	0x43c4B0x4118
0x44c4V0x4249V0x4118	0x44ccB0x4249B0x4118
