0xd98	0xd9b
0xd9c	0xd9e
0xd9e	0xda0
0xda0	0xda3
0xda3	0xda6
0xda7	0xda9
0xda9	0xdad
0xdad	0xdaf
0xdaf	0xdb2
0xdb2	0xdb4
0xdb6	0xdcc
0xdcc	0xdcd
0xdcd	0xdd0
0xdd1	0xdd3
0xdd3	0xdd4
0xdd4	0xdd8
0xdd8	0xdda
0xdda	0xddc
0xddd	0xddf
0xddf	0xde2
0xde2	0xde4
0xde4	0xde7
0xde7	0xde9
0xdea	0xded
0xdee	0xdf0
0xdf0	0xdf2
0xdf2	0xdf5
0xdf5	0xdf8
0xdf9	0xdfb
0xdfb	0xdff
0xdff	0xe01
0xe01	0xe04
0xe04	0xe06
0xe08	0xe1f
0xe1f	0xe20
0xe20	0xe24
0xe25	0xe27
0xe27	0xe2b
0xe2c	0xe30
0xe30	0xe33
0xe33	0xe36
0xe3d	0xe40
0xe42	0xe45
0xe47	0xe48
0xe48	0xe6c
0xe6c	0xe6f
0xe6f	0xe71
0xe77	0xe8d
0xe8d	0xe8e
0xe8e	0xe91
0xe92	0xe94
0xe94	0xe95
0xe95	0xe99
0xe99	0xe9b
0xe9b	0xe9d
0xe9e	0xea0
0xea0	0xea3
0xea3	0xea5
0xea5	0xea8
0xea8	0xeaa
0xeab	0xeae
0xeaf	0xeb1
0xeb1	0xeb3
0xeb3	0xeb6
0xeb6	0xeb9
0xeba	0xebc
0xebc	0xec0
0xec0	0xec2
0xec2	0xec5
0xec5	0xec7
0xec9	0xedf
0xedf	0xee0
0xee0	0xee3
0xee4	0xee6
0xee6	0xee7
0xee7	0xeeb
0xeeb	0xeed
0xeed	0xeef
0xef0	0xef2
0xef2	0xef5
0xef5	0xef7
0xef7	0xefa
0xefa	0xefc
0xefd	0xf00
0xf01	0xf03
0xf03	0xf05
0xf05	0xf08
0xf08	0xf0b
0xf0c	0xf0e
0xf0e	0xf12
0xf12	0xf14
0xf14	0xf17
0xf17	0xf19
0xf1b	0xf21
0xf21	0xf24
0xf26	0xf2a
0xf2a	0xf2c
0xf2c	0xf2e
0xf2e	0xf30
0xf30	0xf31
0xf31	0xf33
0xf35	0xf38
0xf39	0xf3b
0xf3b	0xf3c
0xf3c	0xf3f
0xf3f	0xf42
0xf43	0xf59
0xf59	0xf5a
0xf5a	0xf5e
0xf5f	0xf61
0xf61	0xf63
0xf64	0xf67
0xf67	0xf68
0xf68	0xf6b
0xf6b	0xf70
0xf70	0xf73
0xf73	0xf74
0xf76	0xf8d
0xf8d	0xf8e
0xf8e	0xf92
0xf93	0xf95
0xf95	0xf97
0xf98	0xf9c
0xf9c	0xfa0
0xfa3	0xfa5
0xfa6	0xfa7
0xfa7	0xfa8
0xfa8	0xfad
0xfad	0xfb2
0xfb2	0xfb5
0xfb5	0xfb6
0xfb8	0xfcf
0xfcf	0xfd0
0xfd0	0xfd4
0xfd5	0xfd7
0xfd7	0xfdb
0xfdc	0xfe1
0xfe1	0xfe5
0xfe7	0xfea
0xfec	0xff1
0xff1	0xff3
0xff3	0x1018
0x1018	0x1019
0x1019	0x101b
0x1021	0x1026
0x1026	0x1027
0x1027	0x1028
0x1028	0x102b
0x102c	0x102e
0x102e	0x102f
0x102f	0x1033
0x1033	0x1035
0x1035	0x1037
0x1038	0x103a
0x103a	0x103d
0x103d	0x103f
0x103f	0x1042
0x1042	0x1044
0x1048	0x104a
0x104b	0x104d
0x104d	0x1051
0x1051	0x1053
0x1053	0x1055
0x1055	0x105a
0x105a	0x105f
0x105f	0x1060
0x1060	0x1061
0x1061	0x1064
0x1067	0x1068
0x1068	0x106b
0x106b	0x106c
0x106d	0x106f
0x106f	0x1070
0x1070	0x1073
0x107d	0x107f
0x107f	0x1081
0x1081	0x1083
0x1083	0x1084
0x1084	0x1087
0x108a	0x108c
0x108c	0x108d
0x108d	0x1090
0x1090	0x1092
0x1092	0x1093
0x1093	0x1096
0x1096	0x1097
0x1097	0x1098
0x1098	0x1099
0x1099	0x109b
0x109c	0x109e
0x109e	0x10a7
0x10a7	0x10a9
0x10a9	0x10ac
0x10ac	0x10ae
0x10b4	0x10b6
0x1119	0x112f
0x112f	0x1130
0x1130	0x1133
0x1134	0x1136
0x1136	0x1137
0x1137	0x113b
0x113b	0x113d
0x113d	0x113f
0x1140	0x1142
0x1142	0x1145
0x1145	0x1147
0x1147	0x114a
0x114a	0x114c
0x114d	0x1150
0x1151	0x1153
0x1153	0x1155
0x1155	0x1158
0x1158	0x115b
0x115c	0x115e
0x115e	0x1162
0x1162	0x1164
0x1164	0x1167
0x1167	0x1169
0x116b	0x116f
0x116f	0x1172
0x1172	0x1175
0x1177	0x117b
0x117b	0x117d
0x117d	0x117f
0x117f	0x1181
0x1181	0x1182
0x1182	0x1184
0x1186	0x1189
0x118a	0x118c
0x118c	0x118d
0x118d	0x1190
0x1190	0x1193
0x1194	0x11aa
0x11aa	0x11ab
0x11ab	0x11af
0x11b0	0x11b2
0x11b2	0x11b4
0x11b5	0x11b8
0x11b8	0x11b9
0x11b9	0x11bc
0x11bc	0x11c1
0x11c1	0x11c4
0x11c4	0x11c5
0x11c7	0x11dd
0x11dd	0x11de
0x11de	0x11e2
0x11e3	0x11e5
0x11e5	0x11e7
0x11e8	0x11eb
0x11eb	0x11ec
0x11ed	0x11ef
0x11ef	0x11f0
0x11f0	0x11f5
0x11f5	0x11fa
0x11fa	0x11fd
0x11fd	0x11fe
0x1200	0x1202
0x1203	0x1206
0x1206	0x1209
0x120b	0x120c
0x120c	0x120f
0x120f	0x1225
0x1225	0x1227
0x1227	0x124b
0x124b	0x124c
0x124c	0x124e
0x124e	0x1250
0x1404	0x1406
0x1406	0x1407
0x1407	0x140b
0x140b	0x140c
0x140c	0x140e
0x140e	0x1410
0x1410	0x1413
0x1415	0x1418
0x1418	0x141b
0x141e	0x1421
0x1423	0x1425
0x1425	0x1426
0x1426	0x1428
0x1428	0x1429
0x1429	0x142b
0x142b	0x142e
0x142f	0x1431
0x1431	0x1432
0x1432	0x1436
0x1436	0x1438
0x1438	0x143a
0x143b	0x143d
0x143d	0x1440
0x1440	0x1442
0x1442	0x1445
0x1445	0x1447
0x1448	0x144b
0x144c	0x144e
0x144e	0x1450
0x1450	0x1453
0x1453	0x1456
0x1457	0x1459
0x1459	0x145d
0x145d	0x145f
0x145f	0x1462
0x1462	0x1464
0x1466	0x1468
0x1468	0x1469
0x1469	0x146d
0x146d	0x146e
0x146e	0x1470
0x1470	0x1471
0x1471	0x1473
0x1473	0x1474
0x1474	0x1477
0x1478	0x147b
0x147b	0x147c
0x147c	0x147e
0x147e	0x147f
0x147f	0x1482
0x1482	0x1485
0x1485	0x1486
0x1486	0x1489
0x1489	0x148a
0x148a	0x148b
0x148b	0x148d
0x148d	0x148f
0x1491	0x1492
0x1492	0x1495
0x1496	0x1499
0x1499	0x149a
0x149a	0x149d
0x149d	0x149e
0x149e	0x14a0
0x191f	0x1922
0x1943	0x1946
0x1967	0x196a
0x198b	0x198e
0x19af	0x19b2
0x19d3	0x19d6
0x19f7	0x19fa
0x1a1b	0x1a1e
0x1a3f	0x1a42
0x1a42	0x1a45
0x1a46	0x1a4a
0x1a4a	0x1a4b
0x1a4b	0x1a4d
0x1a4d	0x1a4f
0x1a70	0x1a73
0x1a73	0x1a75
0x1a75	0x1a76
0x1a76	0x1a78
0x1a79	0x1a7d
0x1a7d	0x1a7e
0x1a7e	0x1a80
0x1a80	0x1a82
0x1aa3	0x1aa6
0x1aa6	0x1aa9
0x1aaa	0x1aae
0x1aae	0x1aaf
0x1aaf	0x1ab1
0x1ab1	0x1ab3
0x1ad4	0x1ad7
0x1ad7	0x1ad9
0x1ad9	0x1ada
0x1ada	0x1adc
0x1add	0x1ae1
0x1ae1	0x1ae2
0x1ae2	0x1ae4
0x1ae4	0x1ae6
0x1b07	0x1b0a
0x1b0a	0x1b0d
0x1b0e	0x1b12
0x1b12	0x1b13
0x1b13	0x1b15
0x1b15	0x1b17
0x1b38	0x1b3b
0x1b3b	0x1b3d
0x1b3d	0x1b3e
0x1b3e	0x1b40
0x1b41	0x1b45
0x1b45	0x1b46
0x1b46	0x1b48
0x1b48	0x1b4a
0x1b6b	0x1b6e
0x1b6e	0x1b70
0x1b70	0x1b71
0x1b71	0x1b73
0x1b74	0x1b78
0x1b78	0x1b79
0x1b79	0x1b7b
0x1b7b	0x1b7d
0x1bbf	0x1bc2
0x1bc2	0x1bc5
0x1bc6	0x1bca
0x1bca	0x1bcb
0x1bcb	0x1bcd
0x1bcd	0x1bcf
0x1c11	0x1c14
0x1c14	0x1c15
0x1c15	0x1c2c
0x1c2c	0x1c2e
0x1c2f	0x1c33
0x1c33	0x1c34
0x1c34	0x1c36
0x1c36	0x1c38
0x1c59	0x1c5c
0x1c5c	0x1c5f
0x1c60	0x1c64
0x1c64	0x1c65
0x1c65	0x1c67
0x1c67	0x1c69
0x1ccc	0x1ccf
0x1ccf	0x1cd0
0x1cd0	0x1ce7
0x1ce7	0x1ce9
0x1cea	0x1cee
0x1cee	0x1cef
0x1cef	0x1cf1
0x1cf1	0x1cf3
0x1d14	0x1d17
0x1d17	0x1d19
0x1d19	0x1d1a
0x1d1a	0x1d1c
0x1d1d	0x1d21
0x1d21	0x1d22
0x1d22	0x1d24
0x1d24	0x1d26
0x1d47	0x1d4a
0x1d4a	0x1d4c
0x1d4c	0x1d4d
0x1d4d	0x1d4f
0x1d50	0x1d54
0x1d54	0x1d55
0x1d55	0x1d57
0x1d57	0x1d59
