0xf54	0xf56
0xf56	0xf59
0xf59	0xf5a
0xf5a	0xf5c
0xf5c	0xf5f
0xf5f	0xf60
0xf60	0xf63
0xf63	0xf67
0xf67	0xf68
0xf68	0xf6b
0xf6d	0xf70
0xf70	0xf74
0xf74	0xf75
0xf75	0xf76
0xf76	0xf77
0xf77	0xf7a
0xf7f	0xf84
0xf84	0xf87
0xf8a	0xf8f
0xf8f	0xf90
0xf90	0xf95
0xf97	0xf9a
0xf9a	0xf9c
0xf9c	0xfa0
0xfa0	0xfa1
0xfa1	0xfa2
0xfa2	0xfa3
0xfa3	0xfa6
0xfab	0xfb0
0xfb0	0xfb3
0xfb6	0xfb9
0xfb9	0xfba
0xfba	0xfbd
0xfbd	0xfc1
0xfc1	0xfc2
0xfc2	0xfc8
0x101c	0x101f
0x101f	0x1023
0x1023	0x1024
0x1024	0x1025
0x1025	0x1026
0x1026	0x1029
0x1031	0x1033
0x1033	0x1037
0x1037	0x1038
0x1038	0x103b
0x10d8	0x10db
0x10db	0x10dc
0x10dc	0x10e1
0x10e1	0x10e4
0x10e4	0x10e5
0x10e5	0x10e8
0x10ed	0x10f2
0x10f4	0x10f6
0x10f6	0x10f8
0x10f8	0x10fa
0x10fa	0x10fb
0x10fb	0x10ff
0x10ff	0x1101
0x1102	0x1104
0x1104	0x1106
0x1108	0x110a
0x110a	0x110c
0x110c	0x110e
0x110e	0x110f
0x110f	0x1112
0x1112	0x1114
0x1118	0x1119
0x1119	0x111c
0x111c	0x111d
0x111e	0x1121
0x1121	0x1125
0x1126	0x1129
0x1129	0x112a
0x112b	0x112e
0x112e	0x112f
0x1130	0x1133
0x1133	0x1137
0x1138	0x113a
0x113a	0x113c
0x113e	0x1140
0x1140	0x1142
0x1142	0x1144
0x1144	0x1145
0x1145	0x1149
0x1149	0x114b
0x114c	0x114f
0x114f	0x1153
0x1154	0x1157
0x1157	0x115b
0x115c	0x115f
0x115f	0x1160
0x1161	0x1164
0x1164	0x1165
0x1166	0x1168
0x1168	0x116a
0x11f1	0x11f2
