0x726	0x728
0x728	0x72d
0x72d	0x730
0x730	0x731
0x733	0x735
0x735	0x736
0x736	0x738
0x738	0x739
0x739	0x73c
0x73c	0x73d
0x73d	0x742
0x742	0x744
0x744	0x746
0x747	0x749
0x749	0x74b
0x74b	0x74d
0x74d	0x74e
0x74e	0x751
0x751	0x752
0x752	0x755
0x755	0x756
0x757	0x75a
0x75a	0x75d
0x75f	0x763
0x763	0x765
0x765	0x76b
0x76b	0x76f
0x76f	0x771
0x771	0x778
0x778	0x779
0x779	0x77b
0x77b	0x77f
0x77f	0x780
0x780	0x782
0x782	0x783
0x783	0x786
0x787	0x78a
0x78d	0x78e
0x78e	0x78f
0x78f	0x791
0x791	0x792
0x792	0x795
0x796	0x797
0x797	0x79a
0x79b	0x79c
0x79c	0x79e
0x7a4	0x7a6
0x7a6	0x7a7
0x7a7	0x7a8
0x7a8	0x7ab
0x7ab	0x7ac
0x7ac	0x7ad
0x7ad	0x7b0
0x7b1	0x7b4
0x7b8	0x7ba
0x7ba	0x7bb
0x7bb	0x7bd
0x7bd	0x7be
0x7be	0x7c1
0x7c1	0x7c2
0x7c2	0x7c6
0x7c6	0x7c8
0x7c8	0x7ca
0x7cb	0x7cd
0x7cd	0x7cf
0x7cf	0x7d1
0x7d1	0x7d2
0x7d2	0x7d5
0x7d5	0x7d6
0x7d6	0x7d9
0x7d9	0x7da
0x7db	0x7de
0x7de	0x7e1
0x7e2	0x7e6
0x7e6	0x7e7
0x7e7	0x7ea
0x7ea	0x7eb
0x7ec	0x7ef
0x7ef	0x7f2
0x7f3	0x7f6
0x7f6	0x7f9
0x7fa	0x800
0x800	0x801
0x801	0x804
0x804	0x805
0x807	0x80b
0x80b	0x80d
0x80d	0x813
0x813	0x817
0x817	0x819
0x819	0x820
0x820	0x821
0x821	0x826
0x826	0x827
0x827	0x829
0x829	0x82a
0x82a	0x82d
0x82e	0x831
0x834	0x835
0x835	0x836
0x836	0x838
0x838	0x839
0x839	0x83c
0x83d	0x83e
0x83e	0x841
0x842	0x843
0x843	0x845
0x859	0x85b
0x85b	0x85c
0x85c	0x85e
0x85e	0x860
0x860	0x862
0x862	0x863
0x863	0x864
0x864	0x865
0x865	0x866
0x866	0x867
0x867	0x86a
0x86b	0x86e
0x86e	0x86f
0x86f	0x873
0x873	0x875
0x875	0x877
0x878	0x87a
0x87a	0x87d
0x87d	0x87e
0x87f	0x881
0x881	0x884
0x884	0x885
0x886	0x8a7
0x8a7	0x8aa
0x8aa	0x8ab
0x8ad	0x8b1
0x8b1	0x8b2
0x8b2	0x8b4
0x8b4	0x8b6
0x8b8	0x8ba
0x8ba	0x8bb
0x8bb	0x8bf
0x8bf	0x8c0
0x8c0	0x8c2
0x8c2	0x8c4
0x8c4	0x8c7
0x8c9	0x8cc
0x8cc	0x8cf
0x8d2	0x8d5
0x8d7	0x8d9
0x8d9	0x8da
0x8da	0x8dc
0x8dc	0x8dd
0x8dd	0x8df
0x8df	0x8e2
0x8e3	0x8e5
0x8e5	0x8e6
0x8e6	0x8ea
0x8ea	0x8ec
0x8ec	0x8ee
0x8ef	0x8f1
0x8f1	0x8f4
0x8f4	0x8f6
0x8f6	0x8f9
0x8f9	0x8fb
0x8fc	0x8ff
0x900	0x902
0x902	0x904
0x904	0x907
0x907	0x90a
0x90b	0x90d
0x90d	0x911
0x911	0x913
0x913	0x916
0x916	0x918
0x91a	0x91c
0x91c	0x91d
0x91d	0x921
0x921	0x922
0x922	0x924
0x924	0x925
0x925	0x927
0x927	0x928
0x928	0x92b
0x92c	0x92f
0x92f	0x930
0x930	0x932
0x932	0x933
0x933	0x936
0x936	0x939
0x939	0x93a
0x93a	0x93d
0x93d	0x93e
0x93e	0x93f
0x93f	0x941
0x941	0x943
0x945	0x948
0x948	0x949
0x949	0x94b
0x94b	0x94c
0x94c	0x94d
0x94d	0x94f
0x94f	0x951
0x953	0x954
0x954	0x957
0x958	0x95b
0x95b	0x95c
0x95c	0x95f
0x95f	0x960
0x960	0x962
0x967	0x969
0x969	0x96c
0x96c	0x96f
0x972	0x974
0x974	0x975
0x975	0x977
0x977	0x979
0x979	0x97b
0x97b	0x97c
0x97c	0x97d
0x97d	0x97f
0xe03	0xe06
0xe27	0xe2a
0xe4b	0xe4e
0xe4e	0xe51
0xe52	0xe56
0xe56	0xe57
0xe57	0xe59
0xe59	0xe5b
0xe9d	0xea0
0xea0	0xea3
0xea4	0xea8
0xea8	0xea9
0xea9	0xeab
0xeab	0xead
0xfa3	0xfa4
0xfa5	0xfa6
0xfa7	0xfa8
0xfa9	0xfaa
0xfab	0xfac
0xfad	0xfae
0xfaf	0xfb0
0xfb1	0xfb2
0xfb4	0xfb5
0xfb7	0xfb8
0xfba	0xfbb
0xfbd	0xfbe
0xfc0	0xfc1
0xfc3	0xfc4
0xfc6	0xfc7
0xfd0	0xfd1
0x3100x9c	0x3130x9c
0x2fc0x9c	0x2ff0x9c
0x2ed0x9c	0x2f00x9c
0x3380x9c	0x33a0x9c
0x3350x9c	0x3380x9c
0x3330x9c	0x3350x9c
0x32a0x9c	0x3330x9c
0x3280x9c	0x32a0x9c
0x3250x9c	0x3270x9c
0x3240x9c	0x3250x9c
0x3230x9c	0x3240x9c
0x3220x9c	0x3230x9c
0x31f0x9c	0x3220x9c
0x31e0x9c	0x31f0x9c
0x31c0x9c	0x31e0x9c
0x3190x9c	0x31c0x9c
0x3180x9c	0x3190x9c
0x3160x9c	0x3180x9c
0x30f0x9c	0x3100x9c
0x30d0x9c	0x30f0x9c
0x30b0x9c	0x30d0x9c
0x3090x9c	0x30b0x9c
0x2fb0x9c	0x2fc0x9c
0x2f90x9c	0x2fb0x9c
0x2f70x9c	0x2f80x9c
0x2f40x9c	0x2f70x9c
0x2f30x9c	0x2f40x9c
0x2ec0x9c	0x2ed0x9c
0x2eb0x9c	0x2ec0x9c
0xa67S0x966	0xa69S0x966
0xa69S0x966	0xa6aS0x966
0xa6aS0x966	0xa6eS0x966
0xa6eS0x966	0xa70S0x966
0xa70S0x966	0xa72S0x966
0xa73S0x966	0xa75S0x966
0xa75S0x966	0xa78S0x966
0xa78S0x966	0xa7bS0x966
0xa7dS0x966	0xa7eS0x966
0xa7eS0x966	0xa81S0x966
0xa81S0x966	0xa82S0x966
0xa84S0x966	0xa89S0x966
0xa89S0x966	0xa8dS0x966
0xa8dS0x966	0xa91S0x966
0xa91S0x966	0xa96S0x966
0xa96S0x966	0xa99S0x966
0xa99S0x966	0xa9aS0x966
0xa9aS0x966	0xa9dS0x966
0xa23S0x966	0xa25S0x966
0xa25S0x966	0xa26S0x966
0xa26S0x966	0xa29S0x966
0xa29S0x966	0xa2cS0x966
0xa2cS0x966	0xa2fS0x966
0xa30S0x966	0xa34S0x966
0xa35S0x966	0xa58S0x966
0xa58S0x966	0xa59S0x966
0xa5bS0x966	0xa5dS0x966
0xa5dS0x966	0xa5eS0x966
0xa5eS0x966	0xa5fS0x966
0xa5fS0x966	0xa60S0x966
0xa60S0x966	0xa62S0x966
0xa62S0x966	0xa63S0x966
0xa63S0x966	0xa66S0x966
0xaa0S0x966	0xaa1S0x966
0xaa1S0x966	0xaa4S0x966
0xaa4S0x966	0xaa5S0x966
0xaa6S0x966	0xaa8S0x966
0xaa8S0x966	0xaa9S0x966
0xaa9S0x966	0xaacS0x966
0x2ed0xa22S0x966	0x2f00xa22S0x966
0x2ec0xa22S0x966	0x2ed0xa22S0x966
0x2eb0xa22S0x966	0x2ec0xa22S0x966
0x2fc0xa22S0x966	0x2ff0xa22S0x966
0x2fb0xa22S0x966	0x2fc0xa22S0x966
0x2f90xa22S0x966	0x2fb0xa22S0x966
0x2f70xa22S0x966	0x2f80xa22S0x966
0x2f40xa22S0x966	0x2f70xa22S0x966
0x2f30xa22S0x966	0x2f40xa22S0x966
0x3100xa22S0x966	0x3130xa22S0x966
0x30f0xa22S0x966	0x3100xa22S0x966
0x30d0xa22S0x966	0x30f0xa22S0x966
0x30b0xa22S0x966	0x30d0xa22S0x966
0x3090xa22S0x966	0x30b0xa22S0x966
0x32a0xa22S0x966	0x3330xa22S0x966
0x3280xa22S0x966	0x32a0xa22S0x966
0x3250xa22S0x966	0x3270xa22S0x966
0x3240xa22S0x966	0x3250xa22S0x966
0x3230xa22S0x966	0x3240xa22S0x966
0x3220xa22S0x966	0x3230xa22S0x966
0x31f0xa22S0x966	0x3220xa22S0x966
0x31e0xa22S0x966	0x31f0xa22S0x966
0x31c0xa22S0x966	0x31e0xa22S0x966
0x3190xa22S0x966	0x31c0xa22S0x966
