0xefc	0xf23
0x4770	0x73ea
0x484c	0x7438
0x487f	0x745e
0x487f	0x7484
0x48d0	0x74d4
0x48f7	0x7524
0x48f7	0x754a
0x491d	0x7570
0x491d	0x7596
0x491d	0x75bc
0x495c	0x75e2
0x49ce	0x7630
0x49ce	0x7654
0x4a5c	0x7678
0x4a7a	0x769a
0x4a85	0x76bf
0x4a90	0x7708
0x4b0f	0x7755
0x4b7f	0x777e
0x4b8a	0x77a3
0x4b95	0x77c8
0x4ba0	0x77ed
0x4bab	0x7812
0x4bb6	0x7837
0x4bc1	0x785c
0x4bdf	0x7883
0x4bfd	0x78aa
0x4e7c	0x78fe
0x4ec4	0x7927
0x4f24	0x7979
0x4f59	0x79a0
0x4fdd	0x79cb
0x4ffb	0x79f2
0x5019	0x7a19
0x5037	0x7a40
0x5086	0x7a69
0x50a4	0x7a90
0x50c2	0x7ab7
0x50e0	0x7ade
0x5155	0x7b57
0x5164	0x7b7c
0x516d	0x7ba1
0x51c6	0x7bcb
0x5214	0x7bf5
0x521d	0x7c1a
0x5790	0x7c64
0x5799	0x7c89
0x7cae	0x7cae
0x57ab	0x7cf5
0x57b9	0x7d1a
0x57fd	0x7d8b
0x580e	0x7db1
0x581f	0x7dd7
0x582d	0x7dfc
0x5855	0x7e23
0x5871	0x7e48
0x588c	0x7e6e
0x591c	0x7f0d
0x5937	0x7f33
0x5948	0x7f59
0x5958	0x7f7e
0x5968	0x7fa3
0x5978	0x7fc8
0x5988	0x7fed
0x5998	0x8012
0x59a8	0x8037
0x59b8	0x805c
0x59e7	0x80a6
0x59f7	0x80cb
0x5a07	0x80f0
0x5a17	0x8115
0x5a27	0x813a
0x5a37	0x815f
0x5a47	0x8184
0x5a57	0x81a9
0x5a67	0x81ce
0x5a77	0x81f3
0x5a87	0x8218
0x5aa7	0x823d
0x5ab7	0x8262
0x5ac7	0x8287
0x5ad5	0x82ac
0x5af0	0x82d2
0x5b0c	0x82f7
0x5b9d	0x834a
0x5bad	0x836f
0x5bd9	0x8394
0x5be4	0x83b9
0x83de	0x83de
0x5bef	0x8400
0x8447	0x8447
0x933	0xa4b0x933
0xf25	0xa4b0xf25
0xb8c	0xc590xb8c
0x1c78	0xc590x1c78
0xd1d	0xde80xd1d
0x17de	0xde80x17de
0x1091	0x110f0x1091
0x4180	0x110f0x4180
0x2000	0x219b0x2000
0x3f68	0x219b0x3f68
0x2cb3	0x2e8e0x2cb3
0x3982	0x3b5f0x3982
0x4358	0x437f0x4358
0x4c37	0x4c9f0x4c37
0x4d94	0x4c9f0x4d94
0xca9	0x64400xca9
0xded	0x64b40xded
0x1116	0x64b40x1116
0x124c	0x64b40x124c
0x13a5	0x64b40x13a5
0x1a05	0x64b40x1a05
0x21a7	0x64b40x21a7
0xded	0x64d80xded
0x1116	0x64d80x1116
0xded	0x64fc0xded
0x1116	0x64fc0x1116
0x1091	0x661b0x1091
0x2200	0x661b0x2200
0x3f68	0x661b0x3f68
0x12fe	0x673d0x12fe
0x18d7	0x673d0x18d7
0x1419	0x67900x1419
0x2000	0x67900x2000
0x2200	0x6aab0x2200
0x3f68	0x6aab0x3f68
0x4d33	0x78d30x4d33
0x4e38	0x78d30x4e38
0x4ef4	0x79500x4ef4
0x5067	0x79500x5067
0x57c7	0x7d3f0x57c7
0x5863	0x7d3f0x5863
0x57e2	0x7d650x57e2
0x5afe	0x7d650x5afe
0x58a7	0x7e940x58a7
0x58d5	0x7e940x58d5
0x58f4	0x7ee60x58f4
0x5b34	0x7ee60x5b34
0x59c8	0x80810x59c8
0x5a97	0x80810x5a97
0x5c25	0x84250x5c25
0x5c39	0x84250x5c39
0x5c42	0x84250x5c42
0x5c4b	0x84250x5c4b
