0x1a	0x118
0x774	0x77c
0x77e	0x2cf2
0x78b	0x793
0x7a5	0x1938
0x7ad	0x7b5
0x7b7	0x2d13
0x7ba	0x19d5
0x7c2	0x7ca
0x7cc	0x2d44
0x7d9	0x7e1
0x7ed	0x19db
0x7f5	0x7fd
0x7ff	0x2d77
0x80c	0x814
0x826	0x19f0
0x82e	0x836
0x838	0x2d98
0x845	0x84d
0x859	0x1b17
0x85e	0x2db9
0x86b	0x873
0x897	0x1bcb
0x89f	0x8a7
0x8a9	0x2dda
0x8b6	0x8be
0x8ca	0x1ed6
0x8d2	0x8da
0x8dc	0x2e0b
0x8e9	0x8f1
0x8f7	0x1ee8
0x8ff	0x907
0x909	0x2e3c
0x916	0x91e
0x92a	0x1efa
0x932	0x93a
0x93c	0x2e5d
0x949	0x951
0x96d	0x1ffc
0x975	0x97d
0x97f	0x2e7e
0x982	0x20dd
0x98a	0x992
0x994	0x2eb9
0x9a1	0x9a9
0x9bb	0x20ec
0x9c3	0x9cb
0x9cd	0x2eda
0x9d0	0x2213
0x9fd	0xa02
0xa2d	0xa6c
0xa71	0xab7
0xaee	0xb4b
0xb01	0xb06
0xb14	0xb19
0xb1f	0xb24
0xb47	0xae5
0xb82	0xbd2
0xbda	0xc1d
0xc65	0xc7f
0xc7b	0xc60
0xcc0	0xcc8
0xcca	0xcdf
0xcce	0xcd7
0xcdb	0x2f0b
0xcf0	0xd5e
0xd0f	0xd1a
0xd25	0xd2a
0xd2c	0xd43
0xd30	0xd38
0xd3f	0x2f32
0xd99	0xe56
0xe03	0xe16
0xe12	0xdfe
0xe26	0xe43
0xe52	0x105a
0xe6b	0x105a
0xebd	0xec5
0xecc	0xed9
0xee7	0xeef
0xf56	0xf69
0xf65	0xf51
0xf79	0xf96
0x100b	0x101e
0x101a	0x1006
0x102e	0x104b
0x106a	0x1071
0x107b	0x1082
0x108d	0x10cb
0x114b	0x1192
0x1193	0x119a
0x11a4	0x11ab
0x11b6	0x11f4
0x1258	0x125f
0x1269	0x1270
0x127b	0x12b9
0x12c5	0x12ca
0x12d0	0x12d5
0x1328	0x132d
0x1361	0x1368
0x1372	0x1379
0x1384	0x13c2
0x141b	0x1422
0x142c	0x1433
0x143e	0x147c
0x14e1	0x14e8
0x14f2	0x14f9
0x1504	0x1542
0x1594	0x15d7
0x15d8	0x15df
0x15e9	0x15f0
0x15fb	0x1639
0x167c	0x1683
0x168d	0x1694
0x169f	0x16dd
0x1745	0x174c
0x1756	0x175d
0x1768	0x17a6
0x17b3	0x17b8
0x17be	0x17c3
0x17e0	0x17e5
0x17eb	0x17f0
0x1831	0x1836
0x1890	0x1897
0x18a1	0x18a8
0x18b3	0x18f1
0x1939	0x1940
0x194a	0x1951
0x195c	0x199a
0x19c3	0x19d0
0x19f1	0x19f8
0x1a02	0x1a09
0x1a14	0x1a52
0x1a6f	0x1ab0
0x1b26	0x1b70
0x1bd3	0x1c16
0x1c33	0x1c73
0x1c7e	0x1c83
0x1c89	0x1c8e
0x1ca3	0x1ce3
0x1cee	0x1cf3
0x1cf9	0x1cfe
0x1d11	0x1d55
0x1d56	0x1d5f
0x1d7c	0x1d87
0x1d92	0x1d97
0x1d99	0x1dd3
0x1e2d	0x1e35
0x1e3c	0x1e49
0x1e57	0x1e5f
0x1eb0	0x1eb5
0x1efb	0x1f02
0x1f0c	0x1f13
0x1f1e	0x1f5c
0x1f67	0x1fa1
0x200b	0x2055
0x20a4	0x20ac
0x20b3	0x20c0
0x20ce	0x20d6
0x20ed	0x20f4
0x20fe	0x2105
0x2110	0x214e
0x216b	0x21ac
0x2300	0x2305
0x231d	0x2f59
0x232c	0x2343
0x2347	0x23ad
0x234d	0x237b
0x2354	0x2f7e
0x235b	0x2fa3
0x2382	0x238b
0x23ae	0x23b7
0x23d7	0x23e50x2328
0x23e1	0x2fc8
0x24c0	0x24d7
0x24db	0x2535
0x24e1	0x2503
0x24e8	0x3014
0x24ef	0x3039
0x250a	0x2513
0x2536	0x253f
0x255f	0x23e50x24bc
0x2569	0x305e
0x2631	0x2681
0x2685	0x268a
0x2696	0x26a1
0x269d	0x30ab
0x26a9	0x26ae
0x26b1	0x30d0
0x30d7	0x31d3
0x30d9	0x317e
0x30db	0x3181
0x30dd	0x3184
0x30df	0x3187
0x30e1	0x318a
0x30e3	0x3172
0x30e5	0x3175
0x30e7	0x3178
0x30e9	0x317b
0x30eb	0x3163
0x30ed	0x3166
0x30ef	0x3169
0x30f1	0x316c
0x30f3	0x316f
0x30f5	0x3157
0x30f7	0x315a
0x30f9	0x315d
0x30fb	0x3160
0x30fd	0x3148
0x30ff	0x314b
0x3101	0x314e
0x3103	0x3151
0x3105	0x3154
0x3107	0x313c
0x3109	0x313f
0x310b	0x3142
0x310d	0x3145
0x310f	0x312d
0x3111	0x3130
0x3113	0x3133
0x3115	0x3136
0x3117	0x3139
0x3119	0x3121
0x311b	0x3124
0x311d	0x3127
0x311f	0x312a
0x25d5V0x234b	0x2625B0x234b
0x25d5V0x24df	0x2625B0x24df
0x229bV0xc7f	0x22a0B0xc7f
0x22beV0xc7f	0x22d1B0xc7f
0x2245V0xc7f	0x2277B0xc7f
0x2273V0xc7f	0x2259B0xc7f
0x22b4V0xc7f	0x22c2B0xc7f
0x22c6V0xc7f	0x2281B0xc7f
0x2287V0xc7f	0x22caB0xc7f
0x2577V0x2328	0x3085B0x2328
0x2415V0x1d55	0x244fB0x1d55
0x246cV0x1d55	0x2fefB0x1d55
0x2577V0x24bc	0x3085B0x24bc
0x2577V0x23ad	0x3085B0x23ad
0x2577V0x237b	0x3085B0x237b
0x2577V0x2535	0x3085B0x2535
0x2577V0x2503	0x3085B0x2503
