0x60	0x1d71
0x1826	0x1860
0x1874	0x187c
0x18cd	0x6f60x5de
0x18d9	0x18e4
0x18e0	0x19310x18d5
0x18ec	0x18f1
0x18f4	0x192e0x18d5
0x193a	0x192e0x1937
0x1975	0x1bcd
0x197c	0x192e0x1979
0x19b7	0x1c6f
0x19ec	0x19f4
0x19fb	0x1a08
0x1a16	0x1a1e
0x1a43	0x1a84
0x1ab2	0x192e0x1aa8
0x1b0f	0x1b14
0x1b35	0x1b3a
0x1b70	0x1b75
0x1b94	0x1b99
0x1bd2	0x1c59
0x1c60	0x1c65
0x1c77	0x1cc1
0x1cae	0x1c1e0x1979
0x1cbd	0x1c060x1979
0x24ed	0x2566
0x24ef	0x2569
0x24f1	0x256c
0x24f3	0x256f
0x24f5	0x255d
0x24f7	0x2560
0x24f9	0x2563
0x24fb	0x254b
0x24fd	0x254e
0x24ff	0x2551
0x2501	0x2554
0x2503	0x2557
0x2505	0x255a
0x2507	0x253f
0x2509	0x2542
0x250b	0x2545
0x250d	0x2548
0x250f	0x2536
0x2511	0x2539
0x2513	0x253c
0x2515	0x2524
0x2517	0x2527
0x2519	0x252a
0x251b	0x252d
0x251d	0x2530
0x251f	0x2533
0x19370x1c2e	0x1c4b0x1937
0x19790x1c2e	0x1c4b0x1979
0x19370x1c1a	0x1c060x1937
0x19790x1c1a	0x1c060x1979
0x19370x1c0b	0x1c1e0x1937
0x19790x1c0b	0x1c1e0x1979
0x2840xc31	0xc3e0x284
0x2ef0xc31	0xc3e0x2ef
0x1d70x8b0	0x8bd0x1d7
0x5de0x8b0	0x8bd0x5de
0x1d70x8a1	0x8a90x1d7
0x5de0x8a1	0x8a90x5de
0x1d70x852	0x85a0x1d7
0x5de0x852	0x85a0x5de
0x1d70x824	0x8310x1d7
0x5de0x824	0x8310x5de
0x1d70x815	0x81d0x1d7
0x5de0x815	0x81d0x5de
0x1d70x782	0x78f0x1d7
0x5de0x782	0x78f0x5de
0x1d70x773	0x77b0x1d7
0x5de0x773	0x77b0x5de
0x1d70x726	0x72e0x1d7
0x5de0x726	0x72e0x5de
0x1d70x718	0x7200x1d7
0x5de0x718	0x7200x5de
0x1d70x6fd	0x70a0x1d7
0x5de0x6fd	0x70a0x5de
