0x60	0x1c8a
0x2534	0x256c
0x2536	0x255a
0x2538	0x255d
0x253a	0x2560
0x253c	0x2548
0x253e	0x254b
0x2540	0x254e
0x2542	0x2551
0x2544	0x2554
0x2546	0x2557
0x4840x1176	0x21c60x484
0x116b0x1176	0x21c60x116b
0x4840x1171	0x117a0x484
0x1d30x1f1	0x1b840x1d3
0x2150x1f1	0x1b840x215
0x22a0x1f1	0x1b840x22a
0x23f0x1f1	0x1b840x23f
0x2540x1f1	0x1b840x254
0x2690x1f1	0x1b840x269
0x2890x1f1	0x1b840x289
0x29e0x1f1	0x1b840x29e
0x2de0x1f1	0x1b840x2de
0x2fe0x1f1	0x1b840x2fe
0x31e0x1f1	0x1b840x31e
0x3b20x1f1	0x1b840x3b2
0x3c70x1f1	0x1b840x3c7
0x1d30x1ec	0x1d870x1d3
0x2150x1ec	0x1d870x215
0x22a0x1ec	0x1d870x22a
0x23f0x1ec	0x1d870x23f
0x2540x1ec	0x1d870x254
0x2690x1ec	0x1d870x269
0x2890x1ec	0x1d870x289
0x29e0x1ec	0x1d870x29e
0x2de0x1ec	0x1d870x2de
0x2fe0x1ec	0x1d870x2fe
0x31e0x1ec	0x1d870x31e
0x3b20x1ec	0x1d870x3b2
0x3c70x1ec	0x1d870x3c7
0x1a80x1c1	0x1d5f0x1a8
0x3480x1c1	0x1d5f0x348
0x35d0x1c1	0x1d5f0x35d
0x42f0x1c1	0x1d5f0x42f
0x1793V0x201	0x179aB0x201
0x1716V0x2aa	0x171dB0x2aa
0x1793V0x2ea	0x179aB0x2ea
0x1716V0x30a	0x171dB0x30a
0xa22V0x3ad	0xa2aB0x3ad
0xa2bV0x3ad	0x204bB0x3ad
0xa2fV0x3ad	0x1320B0x3ad
0x132bV0x3ad	0x1333B0x3ad
0x13bbV0xc2a	0x13c3B0xc2a
0x16f6V0xf97	0x16fdB0xf97
0x1705V0xf97	0x24a2B0xf97
0x1580V0x15c4	0x2457B0x15c4
0x1580V0x15ce	0x2457B0x15ce
0x1580V0x15dd	0x2457B0x15dd
0x1580V0x15ec	0x2457B0x15ec
0x1580V0x15fb	0x2457B0x15fb
0x1580V0x160a	0x2457B0x160a
0x1bf4V0x166f	0x24edB0x166f
0x1bf4V0x167a	0x24edB0x167a
0x1bf4V0x168a	0x24edB0x168a
0x1bf4V0x169a	0x24edB0x169a
0x1bf4V0x16aa	0x24edB0x16aa
0x1580V0x1767	0x2457B0x1767
0x1716V0x3fc	0x171dB0x3fc
0x18d6V0x1435	0x18e6B0x1435
0x1bdbV0x18c7V0x1435	0x24c8B0x18c7B0x1435
0x1bc3V0x18c7V0x1435	0x1bd6B0x18c7B0x1435
0x1bd2V0x18c7V0x1435	0x1bbeB0x18c7B0x1435
0x18d6V0x145e	0x18e6B0x145e
0x1bdbV0x18c7V0x145e	0x24c8B0x18c7B0x145e
0x1bc3V0x18c7V0x145e	0x1bd6B0x18c7B0x145e
0x1bd2V0x18c7V0x145e	0x1bbeB0x18c7B0x145e
0x453V0x1a1	0x45bB0x1a1
0x45cV0x1a1	0x1eb7B0x1a1
0x112aV0x45bV0x1a1	0x2155B0x45bB0x1a1
0x5fdV0x210	0x605B0x210
0x606V0x210	0x1f92B0x210
0x112aV0x605V0x210	0x2155B0x605B0x210
0x172fV0x275	0x1736B0x275
0x1740V0x275	0x1748B0x275
0x1bf4V0x1736V0x275	0x24edB0x1736B0x275
0x9ffV0x38d	0xa07B0x38d
0xa08V0x38d	0x2027B0x38d
0x112aV0xa07V0x38d	0x2155B0xa07B0x38d
0x1592V0x39e	0x1599B0x39e
0x159aV0x39e	0x247cB0x39e
0x1580V0x1599V0x39e	0x2457B0x1599B0x39e
0x1592V0x3e8	0x1599B0x3e8
0x159aV0x3e8	0x247cB0x3e8
0x1580V0x1599V0x3e8	0x2457B0x1599B0x3e8
0x17e1V0x6ba	0x17e8B0x6ba
0x17ebV0x6ba	0x17f3B0x6ba
0x17fcV0x6ba	0x1804B0x6ba
0x1816V0x6ba	0x181dB0x6ba
0x1c09V0x17e8V0x6ba	0x250fB0x17e8B0x6ba
0x1c09V0x17f3V0x6ba	0x250fB0x17f3B0x6ba
0x17e1V0xa9d	0x17e8B0xa9d
0x17ebV0xa9d	0x17f3B0xa9d
0x17fcV0xa9d	0x1804B0xa9d
0x1816V0xa9d	0x181dB0xa9d
0x1c09V0x17e8V0xa9d	0x250fB0x17e8B0xa9d
0x1c09V0x17f3V0xa9d	0x250fB0x17f3B0xa9d
0x17e1V0xd53	0x17e8B0xd53
0x17ebV0xd53	0x17f3B0xd53
0x17fcV0xd53	0x1804B0xd53
0x1816V0xd53	0x181dB0xd53
0x1c09V0x17e8V0xd53	0x250fB0x17e8B0xd53
0x1c09V0x17f3V0xd53	0x250fB0x17f3B0xd53
0x92fV0x32a	0x939B0x32a
0x896V0x32a	0x89eB0x32a
0x8a5V0x32a	0x8b2B0x32a
0x8cdV0x32a	0x8d6B0x32a
0x8f7V0x32a	0x901B0x32a
0x91dV0x32a	0x924B0x32a
0x92bV0x32a	0x93eB0x32a
0x93aV0x32a	0x941B0x32a
0x944V0x32a	0x966B0x32a
0x947V0x32a	0x950B0x32a
0x951V0x32a	0x1fddB0x32a
0x95dV0x32a	0x2002B0x32a
0x8fdV0x32a	0x904B0x32a
0x17e1V0x8b2V0x32a	0x17e8B0x8b2B0x32a
0x17ebV0x8b2V0x32a	0x17f3B0x8b2B0x32a
0x17fcV0x8b2V0x32a	0x1804B0x8b2B0x32a
0x1816V0x8b2V0x32a	0x181dB0x8b2B0x32a
0x1c09V0x17e8V0x8b2V0x32a	0x250fB0x17e8B0x8b2B0x32a
0x1c09V0x17f3V0x8b2V0x32a	0x250fB0x17f3B0x8b2B0x32a
0x13ccV0xe06	0x2320B0xe06
0x13e1V0xe06	0x13ecB0xe06
0x13e8V0xe06	0x188aB0xe06
0x14b2V0x13ecV0xe06	0x2395B0x13ecB0xe06
0x14b6V0x13ecV0xe06	0x1b4dB0x13ecB0xe06
0x150fV0x13ecV0xe06	0x1518B0x13ecB0xe06
0x1532V0x13ecV0xe06	0x23bdB0x13ecB0xe06
0x1536V0x13ecV0xe06	0x195bB0x13ecB0xe06
0x1569V0x13ecV0xe06	0x242fB0x13ecB0xe06
0x156dV0x13ecV0xe06	0x1ab8B0x13ecB0xe06
0x148dV0x13ecV0xe06	0x149eB0x13ecB0xe06
0x149fV0x13ecV0xe06	0x14baB0x13ecB0xe06
0x14cdV0x13ecV0xe06	0x14d6B0x13ecB0xe06
0x14d2V0x13ecV0xe06	0x1840B0x13ecB0xe06
0x14eeV0x13ecV0xe06	0x1513B0x13ecB0xe06
0x1845V0x13ecV0xe06	0x1852B0x13ecB0xe06
0x151fV0x13ecV0xe06	0x153aB0x13ecB0xe06
0x153eV0x13ecV0xe06	0x23e5B0x13ecB0xe06
0x1556V0x13ecV0xe06	0x240aB0x13ecB0xe06
0x154cV0x13ecV0xe06	0x1555B0x13ecB0xe06
0x13bbV0x148cV0x13ecV0xe06	0x13c3B0x148cB0x13ecB0xe06
0x1bdbV0x1840V0x13ecV0xe06	0x24c8B0x1840B0x13ecB0xe06
0x1bc3V0x1840V0x13ecV0xe06	0x1bd6B0x1840B0x13ecB0xe06
0x1bd2V0x1840V0x13ecV0xe06	0x1bbeB0x1840B0x13ecB0xe06
0x16f6V0x1542V0x13ecV0xe06	0x16fdB0x1542B0x13ecB0xe06
0x1705V0x1542V0x13ecV0xe06	0x24a2B0x1542B0x13ecB0xe06
